"","date","pce","pop","psavert","uempmed","unemploy","Year_only","Month_only","Day_only"
"191",1983-05-01,2245.9,233922,9.9,12.3,11154,1983,5,1
"192",1983-06-01,2276,234118,9.1,11.3,11246,1983,6,1
"193",1983-07-01,2304.4,234307,9.6,10.1,10548,1983,7,1
"194",1983-08-01,2320.4,234501,9.2,9.3,10623,1983,8,1
"195",1983-09-01,2334.9,234701,9.6,9.3,10282,1983,9,1
"196",1983-10-01,2357.6,234907,9.7,9.4,9887,1983,10,1
"197",1983-11-01,2366.3,235078,10.3,9.3,9499,1983,11,1
"198",1983-12-01,2393.6,235235,10.1,8.7,9331,1983,12,1
"199",1984-01-01,2419.4,235385,10,9.1,9008,1984,1,1
"200",1984-02-01,2403.5,235527,11.7,8.3,8791,1984,2,1
"201",1984-03-01,2431.6,235675,11.5,8.3,8746,1984,3,1
"202",1984-04-01,2457.5,235839,11.5,8.2,8762,1984,4,1
"203",1984-05-01,2474.5,235993,11.1,9.1,8456,1984,5,1
"204",1984-06-01,2495.6,236160,11.1,7.5,8226,1984,6,1
"205",1984-07-01,2494.6,236348,11.6,7.5,8537,1984,7,1
"206",1984-08-01,2512.2,236549,11.8,7.3,8519,1984,8,1
"207",1984-09-01,2533.8,236760,11.8,7.6,8367,1984,9,1
"208",1984-10-01,2531.3,236976,11.7,7.2,8381,1984,10,1
"209",1984-11-01,2571.4,237159,10.9,7.2,8198,1984,11,1
"210",1984-12-01,2582.6,237316,11.2,7.3,8358,1984,12,1
"211",1985-01-01,2618.8,237468,10.3,6.8,8423,1985,1,1
"212",1985-02-01,2640.8,237602,9.1,7.1,8321,1985,2,1
"213",1985-03-01,2648.5,237732,8.7,7.1,8339,1985,3,1
"214",1985-04-01,2659.5,237900,9.9,6.9,8395,1985,4,1
"215",1985-05-01,2696.4,238074,11.1,6.9,8302,1985,5,1
"216",1985-06-01,2689.4,238270,9.6,6.6,8460,1985,6,1
"217",1985-07-01,2715.7,238466,9.1,6.9,8513,1985,7,1
"218",1985-08-01,2752.1,238679,8.2,7.1,8196,1985,8,1
"219",1985-09-01,2794.7,238898,7.3,6.9,8248,1985,9,1
"220",1985-10-01,2755.8,239113,9.1,7.1,8298,1985,10,1
"221",1985-11-01,2771.1,239307,9,7,8128,1985,11,1
"222",1985-12-01,2811.3,239477,8.6,6.8,8138,1985,12,1
"223",1986-01-01,2827.1,239638,8.6,6.7,7795,1986,1,1
"224",1986-02-01,2820.2,239788,9.3,6.9,8402,1986,2,1
"225",1986-03-01,2823.6,239928,9.9,6.8,8383,1986,3,1
"226",1986-04-01,2835.2,240094,9.7,6.7,8364,1986,4,1
"227",1986-05-01,2857.5,240271,9.3,6.8,8439,1986,5,1
"228",1986-06-01,2861.7,240459,9.4,7,8508,1986,6,1
"229",1986-07-01,2881.2,240651,9.3,6.9,8319,1986,7,1
"230",1986-08-01,2898.6,240854,9,7.1,8135,1986,8,1
"231",1986-09-01,2971.8,241068,7.2,7.4,8310,1986,9,1
"232",1986-10-01,2932.9,241274,8.4,7,8243,1986,10,1
"233",1986-11-01,2928.4,241467,8.8,7.1,8159,1986,11,1
"234",1986-12-01,2997.1,241620,7,7.1,7883,1986,12,1
"235",1987-01-01,2935.5,241784,9.7,6.9,7892,1987,1,1
"236",1987-02-01,3001.7,241930,8.5,6.6,7865,1987,2,1
"237",1987-03-01,3013.3,242079,8.5,6.6,7862,1987,3,1
"238",1987-04-01,3038.8,242252,4.5,7.1,7542,1987,4,1
"239",1987-05-01,3048.4,242423,8.2,6.6,7574,1987,5,1
"240",1987-06-01,3072.8,242608,7.7,6.5,7398,1987,6,1
"241",1987-07-01,3094.7,242804,7.5,6.5,7268,1987,7,1
"242",1987-08-01,3130.8,243012,7.2,6.4,7261,1987,8,1
"243",1987-09-01,3126.5,243223,7.6,6,7102,1987,9,1
"244",1987-10-01,3134.5,243446,8.3,6.3,7227,1987,10,1
"245",1987-11-01,3144.2,243639,8.5,6.2,7035,1987,11,1
"246",1987-12-01,3174.1,243809,8.7,6,6936,1987,12,1
"247",1988-01-01,3213.7,243981,8.1,6.2,6953,1988,1,1
"248",1988-02-01,3221.4,244131,8.6,6.3,6929,1988,2,1
"249",1988-03-01,3260.5,244279,8.2,6.4,6876,1988,3,1
"250",1988-04-01,3263,244445,8.8,5.9,6601,1988,4,1
"251",1988-05-01,3293.6,244610,8.4,5.9,6779,1988,5,1
"252",1988-06-01,3318.5,244806,8.4,5.8,6546,1988,6,1
"253",1988-07-01,3342.7,245021,8.6,6.1,6605,1988,7,1
"254",1988-08-01,3368,245240,8.4,5.9,6843,1988,8,1
"255",1988-09-01,3375,245464,8.9,5.7,6604,1988,9,1
"256",1988-10-01,3413.7,245693,8.6,5.6,6568,1988,10,1
"257",1988-11-01,3430.2,245884,8.4,5.7,6537,1988,11,1
"258",1988-12-01,3459.7,246056,8.3,5.9,6518,1988,12,1
"259",1989-01-01,3483.7,246224,8.5,5.6,6682,1989,1,1
"260",1989-02-01,3488,246378,9,5.4,6359,1989,2,1
"261",1989-03-01,3498.8,246530,9.5,5.4,6205,1989,3,1
"262",1989-04-01,3543,246721,8.4,5.4,6468,1989,4,1
"263",1989-05-01,3551.8,246906,8.1,5.3,6375,1989,5,1
"264",1989-06-01,3566.6,247114,8.2,5.4,6577,1989,6,1
"265",1989-07-01,3585.7,247342,8.2,5.6,6495,1989,7,1
"266",1989-08-01,3620.6,247573,7.6,5,6511,1989,8,1
"267",1989-09-01,3621.9,247816,8.1,4.9,6590,1989,9,1
"268",1989-10-01,3633.6,248067,8.5,4.9,6630,1989,10,1
"269",1989-11-01,3643.3,248281,8.6,4.8,6725,1989,11,1
"270",1989-12-01,3684.2,248479,7.8,4.9,6667,1989,12,1
"271",1990-01-01,3730.7,248659,8,5.1,6752,1990,1,1
"272",1990-02-01,3728.2,248827,8.6,5.3,6651,1990,2,1
"273",1990-03-01,3754.9,249012,8.3,5.1,6598,1990,3,1
"274",1990-04-01,3770,249306,8.8,4.8,6797,1990,4,1
"275",1990-05-01,3775.8,249565,8.7,5.2,6742,1990,5,1
"276",1990-06-01,3804.5,249849,8.6,5.2,6590,1990,6,1
"277",1990-07-01,3821.7,250132,8.7,5.4,6922,1990,7,1
"278",1990-08-01,3848.3,250439,8.1,5.4,7188,1990,8,1
"279",1990-09-01,3870.1,250751,8.1,5.6,7368,1990,9,1
"280",1990-10-01,3870.6,251057,7.8,5.8,7459,1990,10,1
"281",1990-11-01,3871.9,251346,7.9,5.7,7764,1990,11,1
"282",1990-12-01,3861.3,251626,8.8,5.9,7901,1990,12,1
"283",1991-01-01,3841,251889,9.3,6,8015,1991,1,1
"284",1991-02-01,3866.7,252135,8.8,6.2,8265,1991,2,1
"285",1991-03-01,3913,252372,8,6.7,8586,1991,3,1
"286",1991-04-01,3907.1,252643,8.6,6.6,8439,1991,4,1
"287",1991-05-01,3933.2,252913,8.4,6.4,8736,1991,5,1
"288",1991-06-01,3940.5,253207,8.9,6.9,8692,1991,6,1
"289",1991-07-01,3966,253493,8.2,7,8586,1991,7,1
"290",1991-08-01,3969.1,253807,8.6,7.3,8666,1991,8,1
"291",1991-09-01,3984.7,254126,8.8,6.8,8722,1991,9,1
"292",1991-10-01,3976,254435,9.3,7.2,8842,1991,10,1
"293",1991-11-01,4003.6,254718,9,7.5,8931,1991,11,1
"294",1991-12-01,4020.5,254964,9.7,7.8,9198,1991,12,1
"295",1992-01-01,4084.7,255214,9.4,8.1,9283,1992,1,1
"296",1992-02-01,4099.5,255448,9.8,8.2,9454,1992,2,1
"297",1992-03-01,4117,255703,9.7,8.3,9460,1992,3,1
"298",1992-04-01,4131.5,255992,9.9,8.5,9415,1992,4,1
"299",1992-05-01,4158.4,256285,9.9,8.8,9744,1992,5,1
"300",1992-06-01,4177.1,256589,10.1,8.7,10040,1992,6,1
"301",1992-07-01,4204.8,256894,9.6,8.6,9850,1992,7,1
"302",1992-08-01,4220.9,257232,9.7,8.8,9787,1992,8,1
"303",1992-09-01,4255.3,257548,8.7,8.6,9781,1992,9,1
"304",1992-10-01,4284.7,257861,8,9,9398,1992,10,1
"305",1992-11-01,4300.5,258147,8,9,9565,1992,11,1
"306",1992-12-01,4336.4,258413,10.6,9.3,9557,1992,12,1
"307",1993-01-01,4340.7,258679,8.6,8.6,9325,1993,1,1
"308",1993-02-01,4355.3,258919,8.9,8.5,9183,1993,2,1
"309",1993-03-01,4352.5,259152,8.9,8.5,9056,1993,3,1
"310",1993-04-01,4393.4,259414,8.7,8.4,9110,1993,4,1
"311",1993-05-01,4422.4,259680,8.3,8.1,9149,1993,5,1
"312",1993-06-01,4440,259963,7.8,8.3,9121,1993,6,1
"313",1993-07-01,4468.9,260255,7.6,8.2,8930,1993,7,1
"314",1993-08-01,4481.1,260566,7.7,8.2,8763,1993,8,1
"315",1993-09-01,4511.5,260867,6.9,8.3,8714,1993,9,1
"316",1993-10-01,4532.8,261163,6.3,8,8750,1993,10,1
"317",1993-11-01,4554.1,261425,6.3,8.3,8542,1993,11,1
"318",1993-12-01,4571.1,261674,9.1,8.3,8477,1993,12,1
"319",1994-01-01,4585.1,261919,7.1,8.6,8630,1994,1,1
"320",1994-02-01,4632.6,262123,6.5,9.2,8583,1994,2,1
"321",1994-03-01,4646,262352,6.8,9.3,8470,1994,3,1
"322",1994-04-01,4671.1,262631,6.4,9.1,8331,1994,4,1
"323",1994-05-01,4669.5,262877,7.6,9.2,7915,1994,5,1
"324",1994-06-01,4708.9,263152,6.9,9.3,7927,1994,6,1
"325",1994-07-01,4720.6,263436,7,9,7946,1994,7,1
"326",1994-08-01,4762.6,263724,6.5,8.9,7933,1994,8,1
"327",1994-09-01,4775,264017,6.8,9.2,7734,1994,9,1
"328",1994-10-01,4812.9,264301,7.1,10,7632,1994,10,1
"329",1994-11-01,4825.6,264559,7,9,7375,1994,11,1
"330",1994-12-01,4841.6,264804,7.2,8.7,7230,1994,12,1
"331",1995-01-01,4851.2,265044,7.5,8,7375,1995,1,1
"332",1995-02-01,4850.8,265270,7.8,8.1,7187,1995,2,1
"333",1995-03-01,4885.4,265495,7.5,8.3,7153,1995,3,1
"334",1995-04-01,4890.2,265755,6.9,8.3,7645,1995,4,1
"335",1995-05-01,4933.1,265998,7.1,9.1,7430,1995,5,1
"336",1995-06-01,4977.5,266270,6.7,7.9,7427,1995,6,1
"337",1995-07-01,4970.2,266557,7.1,8.5,7527,1995,7,1
"338",1995-08-01,5005.3,266843,6.7,8.3,7484,1995,8,1
"339",1995-09-01,5020.5,267152,6.8,7.9,7478,1995,9,1
"340",1995-10-01,5013.9,267456,7.1,8.2,7328,1995,10,1
"341",1995-11-01,5055.6,267715,6.6,8,7426,1995,11,1
"342",1995-12-01,5097.5,267943,6.1,8.3,7423,1995,12,1
"343",1996-01-01,5085.7,268151,6.7,8.3,7491,1996,1,1
"344",1996-02-01,5132.8,268364,6.7,7.8,7313,1996,2,1
"345",1996-03-01,5173.3,268595,6.6,8.3,7318,1996,3,1
"346",1996-04-01,5208,268853,5.7,8.6,7415,1996,4,1
"347",1996-05-01,5223.8,269108,6.7,8.6,7423,1996,5,1
"348",1996-06-01,5229.8,269386,7.1,8.3,7095,1996,6,1
"349",1996-07-01,5251.9,269667,6.7,8.3,7337,1996,7,1
"350",1996-08-01,5275,269976,6.6,8.4,6882,1996,8,1
"351",1996-09-01,5296.6,270284,6.7,8.5,6979,1996,9,1
"352",1996-10-01,5328.5,270581,6.4,8.3,7031,1996,10,1
"353",1996-11-01,5351.2,270878,6.4,7.7,7236,1996,11,1
"354",1996-12-01,5378.6,271125,6.4,7.8,7253,1996,12,1
"355",1997-01-01,5411.1,271360,6.2,7.8,7158,1997,1,1
"356",1997-02-01,5434,271585,6.2,8.1,7102,1997,2,1
"357",1997-03-01,5454.2,271821,6.4,7.9,7000,1997,3,1
"358",1997-04-01,5459.3,272083,6.5,8.3,6873,1997,4,1
"359",1997-05-01,5460.2,272342,6.8,8,6655,1997,5,1
"360",1997-06-01,5494.2,272622,6.6,8,6799,1997,6,1
"361",1997-07-01,5548.8,272912,6.1,8.3,6655,1997,7,1
"362",1997-08-01,5587,273237,6,7.8,6608,1997,8,1
"363",1997-09-01,5601.7,273553,6.2,8.2,6656,1997,9,1
"364",1997-10-01,5637.7,273852,6.2,7.7,6454,1997,10,1
"365",1997-11-01,5661.1,274126,6.4,7.6,6308,1997,11,1
"366",1997-12-01,5692.1,274372,6.4,7.5,6476,1997,12,1
"367",1998-01-01,5689.9,274626,7.4,7.4,6368,1998,1,1
"368",1998-02-01,5723.8,274838,7.4,7,6306,1998,2,1
"369",1998-03-01,5750.3,275047,7.5,6.8,6422,1998,3,1
"370",1998-04-01,5788.1,275304,7.2,6.7,5941,1998,4,1
"371",1998-05-01,5837.9,275564,6.9,6,6047,1998,5,1
"372",1998-06-01,5871.7,275836,6.8,6.9,6212,1998,6,1
"373",1998-07-01,5890,276115,6.9,6.7,6259,1998,7,1
"374",1998-08-01,5925,276418,6.8,6.8,6179,1998,8,1
"375",1998-09-01,5965.6,276714,6.4,6.7,6300,1998,9,1
"376",1998-10-01,5998.8,277003,6.2,5.8,6280,1998,10,1
"377",1998-11-01,6015.4,277277,6.3,6.6,6100,1998,11,1
"378",1998-12-01,6070.5,277526,5.8,6.8,6032,1998,12,1
"379",1999-01-01,6072.9,277790,6.4,6.9,5976,1999,1,1
"380",1999-02-01,6101.8,277992,6.2,6.8,6111,1999,2,1
"381",1999-03-01,6132.9,278198,5.9,6.8,5783,1999,3,1
"382",1999-04-01,6196.2,278451,5.2,6.2,6004,1999,4,1
"383",1999-05-01,6225.7,278717,4.9,6.5,5796,1999,5,1
"384",1999-06-01,6254,279001,4.8,6.3,5951,1999,6,1
"385",1999-07-01,6281.5,279295,4.8,5.8,6025,1999,7,1
"386",1999-08-01,6326.5,279602,4.7,6.5,5838,1999,8,1
"387",1999-09-01,6378.8,279903,4.2,6,5915,1999,9,1
"388",1999-10-01,6402.1,280203,4.6,6.1,5778,1999,10,1
"389",1999-11-01,6437.9,280471,4.8,6.2,5716,1999,11,1
"390",1999-12-01,6538.7,280716,4.4,5.8,5653,1999,12,1
"391",2000-01-01,6535.3,280976,5.4,5.8,5708,2000,1,1
"392",2000-02-01,6619.7,281190,4.8,6.1,5858,2000,2,1
"393",2000-03-01,6685.8,281409,4.5,6,5733,2000,3,1
"394",2000-04-01,6671.1,281653,5,6.1,5481,2000,4,1
"395",2000-05-01,6707.6,281877,4.9,5.8,5758,2000,5,1
