Above Median?,Date,Lower CI,Median,Number of Records,Upper CI,Year
below median,11/1/1854,-0.32,-0.37,1,-0.42,1854/11
below median,12/1/1854,-0.18,-0.23,1,-0.30,1854/12
below median,1/1/1855,-0.11,-0.18,1,-0.23,1855/01
below median,2/1/1855,-0.34,-0.40,1,-0.45,1855/02
below median,3/1/1855,-0.25,-0.30,1,-0.36,1855/03
below median,4/1/1855,-0.15,-0.22,1,-0.28,1855/04
below median,5/1/1855,-0.29,-0.34,1,-0.39,1855/05
below median,6/1/1855,-0.11,-0.16,1,-0.22,1855/06
below median,7/1/1855,-0.21,-0.27,1,-0.32,1855/07
below median,8/1/1855,-0.11,-0.16,1,-0.22,1855/08
below median,9/1/1855,-0.28,-0.34,1,-0.39,1855/09
below median,10/1/1855,-0.15,-0.21,1,-0.27,1855/10
below median,11/1/1855,-0.16,-0.21,1,-0.27,1855/11
below median,12/1/1855,-0.45,-0.51,1,-0.57,1855/12
below median,1/1/1856,-0.05,-0.12,1,-0.17,1856/01
below median,2/1/1856,-0.31,-0.37,1,-0.42,1856/02
below median,3/1/1856,-0.46,-0.51,1,-0.58,1856/03
below median,4/1/1856,-0.30,-0.37,1,-0.44,1856/04
below median,5/1/1856,-0.07,-0.12,1,-0.17,1856/05
below median,6/1/1856,-0.23,-0.29,1,-0.35,1856/06
below median,7/1/1856,-0.24,-0.30,1,-0.35,1856/07
below median,8/1/1856,-0.25,-0.31,1,-0.36,1856/08
below median,9/1/1856,-0.41,-0.46,1,-0.51,1856/09
below median,10/1/1856,-0.32,-0.38,1,-0.44,1856/10
below median,11/1/1856,-0.55,-0.61,1,-0.65,1856/11
below median,12/1/1856,-0.38,-0.44,1,-0.50,1856/12
below median,1/1/1857,-0.44,-0.51,1,-0.56,1857/01
below median,2/1/1857,-0.28,-0.34,1,-0.40,1857/02
below median,3/1/1857,-0.38,-0.43,1,-0.49,1857/03
below median,4/1/1857,-0.58,-0.65,1,-0.71,1857/04
below median,5/1/1857,-0.52,-0.57,1,-0.63,1857/05
below median,6/1/1857,-0.26,-0.31,1,-0.38,1857/06
below median,7/1/1857,-0.49,-0.54,1,-0.60,1857/07
below median,8/1/1857,-0.28,-0.33,1,-0.38,1857/08
below median,9/1/1857,-0.34,-0.39,1,-0.45,1857/09
below median,10/1/1857,-0.41,-0.47,1,-0.53,1857/10
below median,11/1/1857,-0.61,-0.67,1,-0.72,1857/11
below median,12/1/1857,-0.30,-0.36,1,-0.42,1857/12
below median,1/1/1858,-0.46,-0.53,1,-0.58,1858/01
below median,2/1/1858,-0.64,-0.71,1,-0.76,1858/02
below median,3/1/1858,-0.50,-0.55,1,-0.62,1858/03
below median,4/1/1858,-0.44,-0.52,1,-0.58,1858/04
below median,5/1/1858,-0.60,-0.65,1,-0.72,1858/05
below median,6/1/1858,-0.52,-0.58,1,-0.65,1858/06
below median,7/1/1858,-0.27,-0.32,1,-0.38,1858/07
below median,8/1/1858,-0.23,-0.28,1,-0.34,1858/08
below median,9/1/1858,-0.29,-0.34,1,-0.40,1858/09
below median,10/1/1858,-0.14,-0.20,1,-0.27,1858/10
below median,11/1/1858,-0.59,-0.64,1,-0.70,1858/11
below median,12/1/1858,-0.24,-0.30,1,-0.36,1858/12
below median,1/1/1859,-0.25,-0.31,1,-0.36,1859/01
below median,2/1/1859,-0.13,-0.19,1,-0.25,1859/02
below median,3/1/1859,-0.29,-0.33,1,-0.41,1859/03
below median,4/1/1859,-0.13,-0.20,1,-0.27,1859/04
below median,5/1/1859,-0.26,-0.31,1,-0.38,1859/05
below median,6/1/1859,-0.20,-0.25,1,-0.33,1859/06
below median,7/1/1859,-0.23,-0.29,1,-0.35,1859/07
below median,8/1/1859,-0.05,-0.10,1,-0.17,1859/08
below median,9/1/1859,-0.52,-0.58,1,-0.64,1859/09
below median,10/1/1859,-0.20,-0.26,1,-0.32,1859/10
below median,11/1/1859,-0.26,-0.32,1,-0.38,1859/11
below median,12/1/1859,-0.31,-0.36,1,-0.43,1859/12
below median,1/1/1860,-0.12,-0.19,1,-0.24,1860/01
below median,2/1/1860,-0.37,-0.43,1,-0.49,1860/02
below median,3/1/1860,-0.59,-0.64,1,-0.72,1860/03
below median,4/1/1860,-0.27,-0.34,1,-0.40,1860/04
below median,5/1/1860,-0.24,-0.29,1,-0.37,1860/05
below median,6/1/1860,-0.25,-0.31,1,-0.38,1860/06
below median,7/1/1860,-0.07,-0.12,1,-0.18,1860/07
below median,8/1/1860,-0.14,-0.19,1,-0.25,1860/08
below median,9/1/1860,-0.17,-0.23,1,-0.28,1860/09
below median,10/1/1860,-0.14,-0.20,1,-0.26,1860/10
below median,11/1/1860,-0.45,-0.51,1,-0.58,1860/11
below median,12/1/1860,-0.69,-0.75,1,-0.83,1860/12
below median,1/1/1861,-0.83,-0.89,1,-0.96,1861/01
below median,2/1/1861,-0.44,-0.51,1,-0.58,1861/02
below median,3/1/1861,-0.40,-0.47,1,-0.56,1861/03
below median,4/1/1861,-0.33,-0.40,1,-0.47,1861/04
below median,5/1/1861,-0.70,-0.76,1,-0.85,1861/05
below median,6/1/1861,-0.12,-0.18,1,-0.28,1861/06
below median,7/1/1861,-0.15,-0.22,1,-0.31,1861/07
below median,8/1/1861,-0.06,-0.11,1,-0.18,1861/08
below median,9/1/1861,-0.27,-0.33,1,-0.40,1861/09
below median,10/1/1861,-0.31,-0.36,1,-0.43,1861/10
below median,11/1/1861,-0.37,-0.42,1,-0.49,1861/11
below median,12/1/1861,-0.18,-0.25,1,-0.35,1861/12
below median,1/1/1862,-0.67,-0.75,1,-0.82,1862/01
below median,2/1/1862,-0.70,-0.77,1,-0.85,1862/02
below median,3/1/1862,-0.34,-0.40,1,-0.48,1862/03
below median,4/1/1862,-0.17,-0.24,1,-0.31,1862/04
below median,5/1/1862,-0.18,-0.23,1,-0.31,1862/05
below median,6/1/1862,-0.28,-0.34,1,-0.41,1862/06
below median,7/1/1862,-0.28,-0.34,1,-0.41,1862/07
below median,8/1/1862,-0.64,-0.69,1,-0.77,1862/08
below median,9/1/1862,-0.36,-0.41,1,-0.47,1862/09
below median,10/1/1862,-0.36,-0.42,1,-0.50,1862/10
below median,11/1/1862,-0.70,-0.75,1,-0.83,1862/11
below median,12/1/1862,-0.81,-0.89,1,-0.98,1862/12
above median,1/1/1863,0.20,0.13,1,0.07,1863/01
below median,2/1/1863,0.05,-0.02,1,-0.09,1863/02
below median,3/1/1863,-0.30,-0.36,1,-0.43,1863/03
below median,4/1/1863,-0.18,-0.24,1,-0.31,1863/04
below median,5/1/1863,-0.27,-0.32,1,-0.40,1863/05
below median,6/1/1863,-0.34,-0.40,1,-0.47,1863/06
below median,7/1/1863,-0.35,-0.42,1,-0.50,1863/07
below median,8/1/1863,-0.26,-0.32,1,-0.40,1863/08
below median,9/1/1863,-0.26,-0.32,1,-0.40,1863/09
below median,10/1/1863,-0.33,-0.38,1,-0.46,1863/10
below median,11/1/1863,-0.28,-0.33,1,-0.41,1863/11
below median,12/1/1863,-0.27,-0.35,1,-0.44,1863/12
below median,1/1/1864,-0.87,-0.94,1,-1.01,1864/01
below median,2/1/1864,-0.56,-0.63,1,-0.70,1864/02
below median,3/1/1864,-0.45,-0.51,1,-0.59,1864/03
below median,4/1/1864,-0.48,-0.54,1,-0.61,1864/04
below median,5/1/1864,-0.39,-0.45,1,-0.54,1864/05
below median,6/1/1864,-0.10,-0.16,1,-0.24,1864/06
below median,7/1/1864,-0.08,-0.15,1,-0.23,1864/07
below median,8/1/1864,-0.25,-0.31,1,-0.39,1864/08
below median,9/1/1864,-0.37,-0.44,1,-0.52,1864/09
below median,10/1/1864,-0.64,-0.70,1,-0.79,1864/10
below median,11/1/1864,-0.42,-0.47,1,-0.54,1864/11
below median,12/1/1864,-0.53,-0.60,1,-0.68,1864/12
below median,1/1/1865,-0.02,-0.09,1,-0.17,1865/01
below median,2/1/1865,-0.53,-0.60,1,-0.69,1865/02
below median,3/1/1865,-0.57,-0.64,1,-0.72,1865/03
below median,4/1/1865,-0.16,-0.22,1,-0.30,1865/04
below median,5/1/1865,-0.19,-0.26,1,-0.35,1865/05
below median,6/1/1865,-0.20,-0.27,1,-0.35,1865/06
below median,7/1/1865,-0.05,-0.13,1,-0.22,1865/07
below median,8/1/1865,-0.15,-0.21,1,-0.29,1865/08
below median,9/1/1865,-0.01,-0.08,1,-0.16,1865/09
below median,10/1/1865,-0.21,-0.27,1,-0.38,1865/10
below median,11/1/1865,-0.14,-0.19,1,-0.28,1865/11
below median,12/1/1865,-0.27,-0.34,1,-0.42,1865/12
above median,1/1/1866,0.11,0.04,1,-0.05,1866/01
below median,2/1/1866,-0.15,-0.21,1,-0.30,1866/02
below median,3/1/1866,-0.53,-0.60,1,-0.69,1866/03
below median,4/1/1866,-0.20,-0.26,1,-0.36,1866/04
below median,5/1/1866,-0.46,-0.53,1,-0.64,1866/05
above median,6/1/1866,0.17,0.11,1,0.01,1866/06
above median,7/1/1866,0.10,0.03,1,-0.06,1866/07
below median,8/1/1866,-0.20,-0.26,1,-0.34,1866/08
below median,9/1/1866,-0.15,-0.23,1,-0.31,1866/09
below median,10/1/1866,-0.35,-0.42,1,-0.51,1866/10
below median,11/1/1866,-0.23,-0.30,1,-0.39,1866/11
below median,12/1/1866,-0.27,-0.34,1,-0.44,1866/12
below median,1/1/1867,-0.23,-0.31,1,-0.40,1867/01
above median,2/1/1867,0.09,0.02,1,-0.06,1867/02
below median,3/1/1867,-0.65,-0.71,1,-0.81,1867/03
below median,4/1/1867,-0.19,-0.25,1,-0.34,1867/04
below median,5/1/1867,-0.48,-0.54,1,-0.63,1867/05
below median,6/1/1867,-0.23,-0.30,1,-0.38,1867/06
below median,7/1/1867,-0.17,-0.23,1,-0.31,1867/07
below median,8/1/1867,-0.16,-0.23,1,-0.32,1867/08
below median,9/1/1867,-0.02,-0.10,1,-0.18,1867/09
below median,10/1/1867,-0.11,-0.18,1,-0.27,1867/10
below median,11/1/1867,-0.25,-0.31,1,-0.40,1867/11
below median,12/1/1867,-0.56,-0.62,1,-0.72,1867/12
below median,1/1/1868,-0.62,-0.70,1,-0.81,1868/01
below median,2/1/1868,-0.38,-0.47,1,-0.56,1868/02
below median,3/1/1868,0.00,-0.07,1,-0.17,1868/03
below median,4/1/1868,-0.30,-0.37,1,-0.44,1868/04
below median,5/1/1868,-0.01,-0.07,1,-0.18,1868/05
below median,6/1/1868,-0.11,-0.18,1,-0.27,1868/06
above median,7/1/1868,0.21,0.15,1,0.06,1868/07
below median,8/1/1868,0.03,-0.04,1,-0.13,1868/08
below median,9/1/1868,-0.14,-0.20,1,-0.27,1868/09
below median,10/1/1868,-0.17,-0.23,1,-0.31,1868/10
below median,11/1/1868,-0.44,-0.50,1,-0.57,1868/11
below median,12/1/1868,-0.05,-0.12,1,-0.22,1868/12
below median,1/1/1869,-0.19,-0.26,1,-0.35,1869/01
above median,2/1/1869,0.33,0.27,1,0.18,1869/02
below median,3/1/1869,-0.52,-0.59,1,-0.67,1869/03
below median,4/1/1869,-0.16,-0.22,1,-0.29,1869/04
below median,5/1/1869,-0.23,-0.28,1,-0.36,1869/05
below median,6/1/1869,-0.31,-0.37,1,-0.44,1869/06
below median,7/1/1869,-0.23,-0.29,1,-0.37,1869/07
below median,8/1/1869,-0.02,-0.07,1,-0.14,1869/08
below median,9/1/1869,-0.13,-0.19,1,-0.25,1869/09
below median,10/1/1869,-0.36,-0.42,1,-0.50,1869/10
below median,11/1/1869,-0.32,-0.38,1,-0.44,1869/11
below median,12/1/1869,-0.28,-0.36,1,-0.43,1869/12
below median,1/1/1870,-0.01,-0.08,1,-0.16,1870/01
below median,2/1/1870,-0.39,-0.45,1,-0.52,1870/02
below median,3/1/1870,-0.34,-0.41,1,-0.47,1870/03
below median,4/1/1870,-0.15,-0.21,1,-0.27,1870/04
below median,5/1/1870,-0.11,-0.17,1,-0.25,1870/05
below median,6/1/1870,-0.15,-0.21,1,-0.28,1870/06
above median,7/1/1870,0.08,0.02,1,-0.05,1870/07
below median,8/1/1870,-0.21,-0.26,1,-0.33,1870/08
below median,9/1/1870,-0.21,-0.26,1,-0.33,1870/09
below median,10/1/1870,-0.32,-0.39,1,-0.47,1870/10
below median,11/1/1870,-0.11,-0.16,1,-0.23,1870/11
below median,12/1/1870,-0.67,-0.72,1,-0.80,1870/12
below median,1/1/1871,-0.46,-0.53,1,-0.60,1871/01
below median,2/1/1871,-0.47,-0.55,1,-0.62,1871/02
above median,3/1/1871,0.08,0.01,1,-0.07,1871/03
below median,4/1/1871,-0.08,-0.14,1,-0.21,1871/04
below median,5/1/1871,-0.26,-0.32,1,-0.40,1871/05
below median,6/1/1871,-0.17,-0.22,1,-0.29,1871/06
below median,7/1/1871,0.05,-0.01,1,-0.08,1871/07
below median,8/1/1871,-0.17,-0.22,1,-0.29,1871/08
below median,9/1/1871,-0.41,-0.46,1,-0.52,1871/09
below median,10/1/1871,-0.42,-0.48,1,-0.56,1871/10
below median,11/1/1871,-0.49,-0.54,1,-0.61,1871/11
below median,12/1/1871,-0.50,-0.56,1,-0.64,1871/12
below median,1/1/1872,-0.24,-0.31,1,-0.39,1872/01
below median,2/1/1872,-0.35,-0.40,1,-0.47,1872/02
below median,3/1/1872,-0.41,-0.47,1,-0.56,1872/03
below median,4/1/1872,-0.08,-0.15,1,-0.22,1872/04
below median,5/1/1872,0.02,-0.04,1,-0.13,1872/05
below median,6/1/1872,-0.15,-0.21,1,-0.28,1872/06
below median,7/1/1872,-0.05,-0.12,1,-0.18,1872/07
below median,8/1/1872,0.02,-0.03,1,-0.10,1872/08
below median,9/1/1872,-0.07,-0.13,1,-0.19,1872/09
below median,10/1/1872,-0.17,-0.23,1,-0.29,1872/10
below median,11/1/1872,-0.19,-0.24,1,-0.31,1872/11
below median,12/1/1872,-0.37,-0.42,1,-0.49,1872/12
below median,1/1/1873,0.05,-0.02,1,-0.09,1873/01
below median,2/1/1873,-0.28,-0.35,1,-0.42,1873/02
below median,3/1/1873,-0.22,-0.28,1,-0.36,1873/03
below median,4/1/1873,-0.46,-0.52,1,-0.58,1873/04
below median,5/1/1873,-0.35,-0.41,1,-0.49,1873/05
below median,6/1/1873,-0.20,-0.26,1,-0.32,1873/06
below median,7/1/1873,-0.09,-0.16,1,-0.24,1873/07
below median,8/1/1873,-0.10,-0.16,1,-0.22,1873/08
below median,9/1/1873,-0.30,-0.36,1,-0.42,1873/09
below median,10/1/1873,-0.34,-0.40,1,-0.47,1873/10
below median,11/1/1873,-0.41,-0.47,1,-0.53,1873/11
below median,12/1/1873,-0.22,-0.28,1,-0.34,1873/12
above median,1/1/1874,0.13,0.05,1,-0.02,1874/01
below median,2/1/1874,-0.38,-0.44,1,-0.51,1874/02
below median,3/1/1874,-0.50,-0.56,1,-0.64,1874/03
below median,4/1/1874,-0.44,-0.51,1,-0.57,1874/04
below median,5/1/1874,-0.40,-0.47,1,-0.55,1874/05
below median,6/1/1874,-0.40,-0.46,1,-0.53,1874/06
below median,7/1/1874,-0.11,-0.17,1,-0.24,1874/07
below median,8/1/1874,-0.31,-0.37,1,-0.44,1874/08
below median,9/1/1874,-0.16,-0.21,1,-0.28,1874/09
below median,10/1/1874,-0.39,-0.44,1,-0.50,1874/10
below median,11/1/1874,-0.45,-0.50,1,-0.56,1874/11
below median,12/1/1874,-0.34,-0.41,1,-0.47,1874/12
below median,1/1/1875,-0.51,-0.58,1,-0.66,1875/01
below median,2/1/1875,-0.55,-0.61,1,-0.69,1875/02
below median,3/1/1875,-0.54,-0.60,1,-0.68,1875/03
below median,4/1/1875,-0.40,-0.46,1,-0.53,1875/04
below median,5/1/1875,-0.12,-0.18,1,-0.26,1875/05
below median,6/1/1875,-0.17,-0.23,1,-0.30,1875/06
below median,7/1/1875,-0.23,-0.30,1,-0.38,1875/07
below median,8/1/1875,-0.12,-0.18,1,-0.26,1875/08
below median,9/1/1875,-0.21,-0.27,1,-0.35,1875/09
below median,10/1/1875,-0.32,-0.37,1,-0.45,1875/10
below median,11/1/1875,-0.45,-0.50,1,-0.56,1875/11
below median,12/1/1875,-0.43,-0.50,1,-0.57,1875/12
below median,1/1/1876,-0.24,-0.31,1,-0.38,1876/01
below median,2/1/1876,-0.20,-0.27,1,-0.34,1876/02
below median,3/1/1876,-0.32,-0.38,1,-0.47,1876/03
below median,4/1/1876,-0.24,-0.30,1,-0.37,1876/04
below median,5/1/1876,-0.47,-0.53,1,-0.62,1876/05
below median,6/1/1876,-0.23,-0.28,1,-0.36,1876/06
below median,7/1/1876,-0.07,-0.13,1,-0.21,1876/07
below median,8/1/1876,-0.18,-0.24,1,-0.31,1876/08
below median,9/1/1876,-0.38,-0.43,1,-0.51,1876/09
below median,10/1/1876,-0.33,-0.39,1,-0.46,1876/10
below median,11/1/1876,-0.53,-0.58,1,-0.64,1876/11
below median,12/1/1876,-0.64,-0.71,1,-0.79,1876/12
below median,1/1/1877,-0.25,-0.33,1,-0.41,1877/01
above median,2/1/1877,0.12,0.06,1,-0.02,1877/02
below median,3/1/1877,-0.23,-0.29,1,-0.38,1877/03
below median,4/1/1877,-0.27,-0.33,1,-0.39,1877/04
below median,5/1/1877,-0.39,-0.45,1,-0.54,1877/05
below median,6/1/1877,-0.03,-0.09,1,-0.17,1877/06
above median,7/1/1877,0.07,0.01,1,-0.07,1877/07
above median,8/1/1877,0.22,0.15,1,0.08,1877/08
above median,9/1/1877,0.08,0.03,1,-0.04,1877/09
above median,10/1/1877,0.11,0.06,1,-0.01,1877/10
above median,11/1/1877,0.16,0.10,1,0.04,1877/11
above median,12/1/1877,0.25,0.17,1,0.10,1877/12
above median,1/1/1878,0.24,0.17,1,0.11,1878/01
above median,2/1/1878,0.47,0.40,1,0.33,1878/02
above median,3/1/1878,0.40,0.34,1,0.26,1878/03
above median,4/1/1878,0.38,0.32,1,0.26,1878/04
below median,5/1/1878,-0.03,-0.08,1,-0.18,1878/05
above median,6/1/1878,0.07,0.02,1,-0.05,1878/06
below median,7/1/1878,0.01,-0.05,1,-0.12,1878/07
below median,8/1/1878,0.04,-0.02,1,-0.09,1878/08
above median,9/1/1878,0.07,0.02,1,-0.05,1878/09
below median,10/1/1878,-0.06,-0.12,1,-0.18,1878/10
below median,11/1/1878,-0.15,-0.20,1,-0.26,1878/11
below median,12/1/1878,-0.30,-0.36,1,-0.43,1878/12
below median,1/1/1879,-0.13,-0.20,1,-0.27,1879/01
below median,2/1/1879,-0.09,-0.15,1,-0.23,1879/02
below median,3/1/1879,-0.05,-0.10,1,-0.18,1879/03
below median,4/1/1879,-0.16,-0.22,1,-0.27,1879/04
below median,5/1/1879,-0.16,-0.21,1,-0.29,1879/05
below median,6/1/1879,-0.22,-0.27,1,-0.34,1879/06
below median,7/1/1879,-0.18,-0.23,1,-0.30,1879/07
below median,8/1/1879,-0.11,-0.17,1,-0.22,1879/08
below median,9/1/1879,-0.16,-0.21,1,-0.28,1879/09
below median,10/1/1879,-0.06,-0.12,1,-0.18,1879/10
below median,11/1/1879,-0.33,-0.39,1,-0.45,1879/11
below median,12/1/1879,-0.45,-0.52,1,-0.59,1879/12
below median,1/1/1880,0.01,-0.06,1,-0.14,1880/01
below median,2/1/1880,-0.11,-0.18,1,-0.24,1880/02
below median,3/1/1880,-0.04,-0.11,1,-0.18,1880/03
below median,4/1/1880,-0.08,-0.15,1,-0.20,1880/04
below median,5/1/1880,-0.19,-0.24,1,-0.33,1880/05
below median,6/1/1880,-0.26,-0.31,1,-0.37,1880/06
below median,7/1/1880,-0.19,-0.25,1,-0.31,1880/07
below median,8/1/1880,-0.06,-0.12,1,-0.17,1880/08
below median,9/1/1880,-0.18,-0.23,1,-0.30,1880/09
below median,10/1/1880,-0.33,-0.39,1,-0.45,1880/10
below median,11/1/1880,-0.35,-0.41,1,-0.47,1880/11
below median,12/1/1880,-0.23,-0.30,1,-0.37,1880/12
below median,1/1/1881,-0.31,-0.36,1,-0.44,1881/01
below median,2/1/1881,-0.18,-0.24,1,-0.31,1881/02
below median,3/1/1881,-0.12,-0.19,1,-0.26,1881/03
below median,4/1/1881,-0.07,-0.13,1,-0.19,1881/04
below median,5/1/1881,0.03,-0.03,1,-0.12,1881/05
below median,6/1/1881,-0.17,-0.23,1,-0.29,1881/06
below median,7/1/1881,-0.09,-0.15,1,-0.21,1881/07
below median,8/1/1881,-0.07,-0.13,1,-0.18,1881/08
below median,9/1/1881,-0.20,-0.24,1,-0.30,1881/09
below median,10/1/1881,-0.22,-0.28,1,-0.34,1881/10
below median,11/1/1881,-0.29,-0.34,1,-0.40,1881/11
below median,12/1/1881,-0.07,-0.14,1,-0.20,1881/12
above median,1/1/1882,0.17,0.11,1,0.05,1882/01
below median,2/1/1882,0.05,-0.01,1,-0.08,1882/02
below median,3/1/1882,0.01,-0.05,1,-0.13,1882/03
below median,4/1/1882,-0.23,-0.28,1,-0.34,1882/04
below median,5/1/1882,-0.32,-0.37,1,-0.46,1882/05
below median,6/1/1882,-0.27,-0.32,1,-0.38,1882/06
below median,7/1/1882,-0.13,-0.19,1,-0.25,1882/07
below median,8/1/1882,-0.17,-0.22,1,-0.28,1882/08
below median,9/1/1882,-0.11,-0.16,1,-0.22,1882/09
below median,10/1/1882,-0.28,-0.34,1,-0.40,1882/10
below median,11/1/1882,-0.26,-0.31,1,-0.38,1882/11
below median,12/1/1882,-0.40,-0.46,1,-0.53,1882/12
below median,1/1/1883,-0.36,-0.41,1,-0.48,1883/01
below median,2/1/1883,-0.26,-0.32,1,-0.39,1883/02
below median,3/1/1883,-0.29,-0.34,1,-0.41,1883/03
below median,4/1/1883,-0.34,-0.39,1,-0.45,1883/04
below median,5/1/1883,-0.20,-0.25,1,-0.34,1883/05
below median,6/1/1883,-0.07,-0.12,1,-0.18,1883/06
below median,7/1/1883,-0.13,-0.20,1,-0.26,1883/07
below median,8/1/1883,-0.16,-0.21,1,-0.26,1883/08
below median,9/1/1883,-0.23,-0.28,1,-0.34,1883/09
below median,10/1/1883,-0.32,-0.38,1,-0.43,1883/10
below median,11/1/1883,-0.25,-0.31,1,-0.36,1883/11
below median,12/1/1883,-0.26,-0.32,1,-0.39,1883/12
below median,1/1/1884,-0.36,-0.42,1,-0.49,1884/01
below median,2/1/1884,-0.15,-0.22,1,-0.29,1884/02
below median,3/1/1884,-0.40,-0.46,1,-0.53,1884/03
below median,4/1/1884,-0.48,-0.53,1,-0.58,1884/04
below median,5/1/1884,-0.34,-0.39,1,-0.47,1884/05
below median,6/1/1884,-0.36,-0.41,1,-0.47,1884/06
below median,7/1/1884,-0.37,-0.42,1,-0.48,1884/07
below median,8/1/1884,-0.36,-0.41,1,-0.46,1884/08
below median,9/1/1884,-0.29,-0.34,1,-0.39,1884/09
below median,10/1/1884,-0.27,-0.32,1,-0.38,1884/10
below median,11/1/1884,-0.51,-0.56,1,-0.62,1884/11
below median,12/1/1884,-0.35,-0.42,1,-0.48,1884/12
below median,1/1/1885,-0.45,-0.51,1,-0.58,1885/01
below median,2/1/1885,-0.35,-0.41,1,-0.47,1885/02
below median,3/1/1885,-0.43,-0.48,1,-0.55,1885/03
below median,4/1/1885,-0.42,-0.47,1,-0.53,1885/04
below median,5/1/1885,-0.47,-0.52,1,-0.61,1885/05
below median,6/1/1885,-0.44,-0.49,1,-0.55,1885/06
below median,7/1/1885,-0.25,-0.31,1,-0.38,1885/07
below median,8/1/1885,-0.46,-0.51,1,-0.56,1885/08
below median,9/1/1885,-0.29,-0.33,1,-0.39,1885/09
below median,10/1/1885,-0.20,-0.25,1,-0.30,1885/10
below median,11/1/1885,-0.21,-0.26,1,-0.33,1885/11
below median,12/1/1885,-0.09,-0.16,1,-0.22,1885/12
below median,1/1/1886,-0.35,-0.40,1,-0.47,1886/01
below median,2/1/1886,-0.40,-0.46,1,-0.52,1886/02
below median,3/1/1886,-0.36,-0.42,1,-0.48,1886/03
below median,4/1/1886,-0.28,-0.34,1,-0.39,1886/04
below median,5/1/1886,-0.13,-0.19,1,-0.27,1886/05
