"","DriversKilled","DriversInjured","front","rear","PetrolPrice","VanKilled","law","Year","Month"
"103",123,1528,888,479,0.0998366428726473,6,"No",1977,"July"
"104",103,1643,852,473,0.0926366895833353,8,"No",1977,"August"
"105",97,1515,774,332,0.0918149629077569,6,"No",1977,"September"
"106",140,1685,831,391,0.090724303768407,12,"No",1977,"October"
"107",165,2000,889,370,0.0900212072768793,15,"No",1977,"November"
"108",183,2215,1046,431,0.0893307058230937,7,"No",1977,"December"
"109",148,1956,889,366,0.0884427348717763,14,"No",1978,"January"
"110",111,1462,626,250,0.0883525692744791,4,"No",1978,"February"
"111",116,1563,808,355,0.0867573619308237,10,"No",1978,"March"
"112",115,1459,746,304,0.0849952420449752,8,"No",1978,"April"
"113",100,1446,754,379,0.0845679437213488,7,"No",1978,"May"
"114",106,1622,865,440,0.0844318988774436,11,"No",1978,"June"
"115",134,1657,980,500,0.0843508831482932,3,"No",1978,"July"
"116",125,1638,959,511,0.0836009830491076,5,"No",1978,"August"
"117",117,1643,856,384,0.0834172630524962,11,"No",1978,"September"
"118",122,1683,798,366,0.0827451397987249,10,"No",1978,"October"
"119",153,2050,942,432,0.0852352669035281,10,"No",1978,"November"
"120",178,2262,1010,390,0.0847703028296526,7,"No",1978,"December"
"121",114,1813,796,306,0.0844589214084587,10,"No",1979,"January"
"122",94,1445,643,232,0.085352119244763,11,"No",1979,"February"
"123",128,1762,794,342,0.0875592125175749,9,"No",1979,"March"
"124",119,1461,750,329,0.0903829170614837,7,"No",1979,"April"
"125",111,1556,809,394,0.0907832937355188,8,"No",1979,"May"
"126",110,1431,716,355,0.108742780219868,13,"No",1979,"June"
"127",114,1427,851,385,0.114142227335262,8,"No",1979,"July"
"128",118,1554,931,463,0.112992933231466,5,"No",1979,"August"
"129",115,1645,834,453,0.111320706029796,8,"No",1979,"September"
"130",132,1653,762,373,0.109126229280665,7,"No",1979,"October"
"131",153,2016,880,401,0.107698459343112,12,"No",1979,"November"
"132",171,2207,1077,466,0.107601574334496,10,"No",1979,"December"
"133",115,1665,748,306,0.103775019202843,7,"No",1980,"January"
"134",95,1361,593,263,0.107114170431059,4,"No",1980,"February"
"135",92,1506,720,323,0.107374774370757,10,"No",1980,"March"
"136",100,1360,646,310,0.111695372689559,4,"No",1980,"April"
"137",95,1453,765,424,0.110638184592354,8,"No",1980,"May"
"138",114,1522,820,403,0.111855211329895,8,"No",1980,"June"
"139",102,1460,807,406,0.109742342683337,7,"No",1980,"July"
"140",104,1552,885,466,0.108193931510232,10,"No",1980,"August"
"141",132,1548,803,381,0.106255362697951,8,"No",1980,"September"
"142",136,1827,860,369,0.104193034427699,14,"No",1980,"October"
"143",117,1737,825,378,0.101933972880902,8,"No",1980,"November"
"144",137,1941,911,392,0.102793824574291,9,"No",1980,"December"
"145",111,1474,704,284,0.10476034144929,8,"No",1981,"January"
"146",106,1458,691,316,0.104002535534347,6,"No",1981,"February"
"147",98,1542,688,321,0.116655515402424,7,"No",1981,"March"
"148",84,1404,714,358,0.11516147558196,6,"No",1981,"April"
"149",94,1522,814,378,0.112989543494316,5,"No",1981,"May"
"150",105,1385,736,382,0.113860643932406,4,"No",1981,"June"
"151",123,1641,876,433,0.119118081064489,5,"No",1981,"July"
"152",109,1510,829,506,0.124489986005886,10,"No",1981,"August"
"153",130,1681,818,428,0.123222945411622,7,"No",1981,"September"
"154",153,1938,942,479,0.12067793212866,10,"No",1981,"October"
"155",134,1868,782,370,0.121048982651421,12,"No",1981,"November"
"156",99,1726,823,349,0.116968571491487,7,"No",1981,"December"
"157",115,1456,595,238,0.112750259392875,4,"No",1982,"January"
"158",104,1445,673,285,0.108079306704711,5,"No",1982,"February"
"159",131,1456,660,324,0.108838515984019,6,"No",1982,"March"
"160",108,1365,676,346,0.111291766408542,4,"No",1982,"April"
"161",103,1487,755,410,0.111304009176187,4,"No",1982,"May"
"162",115,1558,815,411,0.115454357532553,8,"No",1982,"June"
"163",122,1488,867,496,0.114768296055692,8,"No",1982,"July"
"164",122,1684,933,534,0.117207430931122,3,"No",1982,"August"
"165",125,1594,798,396,0.119076397031248,7,"No",1982,"September"
"166",137,1850,950,470,0.117965862171995,12,"No",1982,"October"
"167",138,1998,825,385,0.117449127100423,2,"No",1982,"November"
"168",152,2079,911,411,0.116988457838933,7,"No",1982,"December"
"169",120,1494,619,281,0.11261053571781,8,"No",1983,"January"
"170",95,1057,426,300,0.113657015681422,3,"Yes",1983,"February"
"171",100,1218,475,318,0.113144445252379,2,"Yes",1983,"March"
"172",89,1168,556,391,0.118495534815352,6,"Yes",1983,"April"
"173",82,1236,559,398,0.117969401200945,3,"Yes",1983,"May"
"174",89,1076,483,337,0.1176866141183,7,"Yes",1983,"June"
"175",60,1174,587,477,0.120059238961094,6,"Yes",1983,"July"
"176",84,1139,615,422,0.119437745680998,8,"Yes",1983,"August"
"177",113,1427,618,495,0.118881271786551,8,"Yes",1983,"September"
"178",126,1487,662,471,0.118462360710195,4,"Yes",1983,"October"
"179",122,1483,519,368,0.118016598400236,3,"Yes",1983,"November"
"180",118,1513,585,345,0.117706622543368,5,"Yes",1983,"December"
"181",92,1357,483,296,0.117776089941536,5,"Yes",1984,"January"
"182",86,1165,434,319,0.114796991716514,3,"Yes",1984,"February"
"183",81,1282,513,349,0.11573525277085,4,"Yes",1984,"March"
"184",84,1110,548,375,0.115356263024722,3,"Yes",1984,"April"
"185",87,1297,586,441,0.114815360704668,6,"Yes",1984,"May"
"186",90,1185,522,465,0.114777477886645,6,"Yes",1984,"June"
"187",79,1222,601,472,0.114935980147534,7,"Yes",1984,"July"
"188",96,1284,644,521,0.114796991716514,5,"Yes",1984,"August"
"189",122,1444,643,429,0.114093156728444,7,"Yes",1984,"September"
"190",120,1575,641,408,0.116465521799171,7,"Yes",1984,"October"
"191",137,1737,711,490,0.116026113132354,4,"Yes",1984,"November"
"192",154,1763,721,491,0.116066729379379,7,"Yes",1984,"December"
