"","Date","PlayerID","Training","SessionType","Duration","RPE","SessionLoad","DailyLoad","AcuteLoad","ChronicLoad","AcuteChronicRatio","ObjectiveRating","FocusRating","BestOutOfMyself"
"55","2018-07-16",16,"Yes","Speed",20,2.7,60,260,116.4,393.93,0.3,9,9,"Absolutely"
"56","2018-07-16",16,"Yes","Skills",60,3,180,NA,NA,NA,NA,9,9,"Absolutely"
"57","2018-07-16",16,"Yes","Mobility/Recovery",40,0,20,NA,NA,NA,NA,9,9,"Absolutely"
"58","2018-07-14",2,"Yes","Mobility/Recovery",30,1.7,60,60,247,404.25,0.61,NA,NA,NA
"59","2018-07-12",2,"Yes","Speed",30,4,120,690,238.4,402.11,0.59,NA,NA,NA
"60","2018-07-12",2,"Yes","Strength",45,3.9,180,NA,NA,NA,NA,NA,NA,NA
"61","2018-07-12",2,"Yes","Skills",60,3.1,180,NA,NA,NA,NA,NA,NA,NA
"62","2018-07-12",2,"Yes","Mobility/Recovery",70,2.7,210,NA,NA,NA,NA,NA,NA,NA
"63","2018-07-12",3,"Yes","Speed",30,4,120,600,256.9,397.43,0.65,NA,NA,"Absolutely"
"64","2018-07-12",3,"Yes","Strength",45,3.9,180,NA,NA,NA,NA,NA,NA,"Absolutely"
"65","2018-07-12",3,"Yes","Conditioning",75,4,300,NA,NA,NA,NA,NA,NA,"Absolutely"
"66","2018-07-12",4,"Yes","Speed",30,2.8,90,450,88.3,333.04,0.27,7,8,NA
"67","2018-07-12",4,"Yes","Skills",60,4.2,240,NA,NA,NA,NA,7,8,NA
"68","2018-07-12",4,"Yes","Strength",30,4.1,120,NA,NA,NA,NA,7,8,NA
"69","2018-07-12",7,"Yes","Speed",45,5.4,225,750,293.6,452.14,0.65,NA,NA,NA
"70","2018-07-12",7,"Yes","Strength",45,4.8,225,NA,NA,NA,NA,NA,NA,NA
"71","2018-07-12",7,"Yes","Skills",75,3.9,300,NA,NA,NA,NA,NA,NA,NA
"72","2018-07-12",11,"Yes","Speed",45,3.9,180,660,231.9,450.82,0.51,9,10,"Absolutely"
"73","2018-07-12",11,"Yes","Strength",45,4.2,180,NA,NA,NA,NA,9,10,"Absolutely"
"74","2018-07-12",11,"Yes","Skills",75,3.9,300,NA,NA,NA,NA,9,10,"Absolutely"
"75","2018-07-12",13,"Yes","Speed",40,4.9,200,910,306.3,346.39,0.88,NA,NA,"Not at all"
"76","2018-07-12",13,"Yes","Strength",40,5.2,200,NA,NA,NA,NA,NA,NA,"Not at all"
"77","2018-07-12",13,"Yes","Skills",60,5.1,300,NA,NA,NA,NA,NA,NA,"Not at all"
"78","2018-07-12",13,"Yes","Conditioning",30,7.1,210,NA,NA,NA,NA,NA,NA,"Not at all"
"79","2018-07-12",13,"Yes","Mobility/Recovery",60,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
"80","2018-07-12",14,"Yes","Speed",30,2.8,90,510,170.9,379.68,0.45,NA,NA,NA
"81","2018-07-12",14,"Yes","Strength",45,4,180,NA,NA,NA,NA,NA,NA,NA
"82","2018-07-12",14,"Yes","Skills",60,3.5,240,NA,NA,NA,NA,NA,NA,NA
"83","2018-07-12",16,"Yes","Speed",30,3,90,555,255,455.89,0.56,8,9,NA
"84","2018-07-12",16,"Yes","Strength",45,4.9,225,NA,NA,NA,NA,8,9,NA
"85","2018-07-12",16,"Yes","Skills",60,3.8,240,NA,NA,NA,NA,8,9,NA
"86","2018-07-11",13,"Yes","Mobility/Recovery",60,0,0,0,176.3,347.11,0.51,NA,NA,"Not at all"
"87","2018-07-10",1,"Yes","Skills",90,4,360,360,85,228.75,0.37,NA,NA,NA
"88","2018-07-10",2,"Yes","Skills",45,3,135,199,317.7,435.86,0.73,NA,NA,NA
"89","2018-07-10",2,"Yes","Game",16,4.4,64,NA,NA,NA,NA,NA,NA,NA
"90","2018-07-10",3,"Yes","Skills",40,3.9,160,208,400.4,447.79,0.89,NA,NA,"Absolutely"
"91","2018-07-10",3,"Yes","Game",12,4,48,NA,NA,NA,NA,NA,NA,"Absolutely"
"92","2018-07-10",4,"Yes","Skills",30,3.7,120,168,174.7,375.89,0.46,8,8,NA
"93","2018-07-10",4,"Yes","Game",12,4,48,NA,NA,NA,NA,8,8,NA
"94","2018-07-10",5,"Yes","Game",10,5.9,60,60,111.4,146.07,0.76,9,10,NA
"95","2018-07-10",6,"Yes","Game",14,7.3,98,278,263.3,408.46,0.64,9,9,NA
"96","2018-07-10",6,"Yes","Skills",45,4.5,180,NA,NA,NA,NA,9,9,NA
"97","2018-07-10",7,"Yes","Skills",60,4.8,300,420,362.1,470.89,0.77,NA,NA,NA
"98","2018-07-10",7,"Yes","Mobility/Recovery",60,2,120,NA,NA,NA,NA,NA,NA,NA
"99","2018-07-10",10,"Yes","Skills",60,2.6,180,230,300.7,302.32,0.99,6,6,NA
"100","2018-07-10",10,"Yes","Game",10,5.2,50,NA,NA,NA,NA,6,6,NA
"101","2018-07-10",11,"Yes","Skills",45,2.9,135,183,291.1,496.71,0.59,10,10,"Absolutely"
"102","2018-07-10",11,"Yes","Game",12,3.9,48,NA,NA,NA,NA,10,10,"Absolutely"
"103","2018-07-10",13,"Yes","Skills",40,5,200,254,176.3,375.68,0.47,NA,NA,"Not at all"
"104","2018-07-10",13,"Yes","Conditioning",9,5.4,54,NA,NA,NA,NA,NA,NA,"Not at all"
"105","2018-07-10",14,"Yes","Skills",30,3.1,90,146,166.6,408.07,0.41,NA,NA,NA
"106","2018-07-10",14,"Yes","Game",14,4,56,NA,NA,NA,NA,NA,NA,NA
"107","2018-07-10",15,"Yes","Game",12,5.8,72,72,147.4,191.68,0.77,NA,7,NA
"108","2018-07-10",16,"Yes","Skills",60,5.9,360,375,430.7,491.43,0.88,10,10,"Absolutely"
"109","2018-07-10",16,"Yes","Mobility/Recovery",30,0,15,NA,NA,NA,NA,10,10,"Absolutely"
"110","2018-07-09",2,"Yes","Speed",30,2.5,90,780,303.6,428.75,0.71,NA,NA,NA
"111","2018-07-09",2,"Yes","Skills",90,3.7,360,NA,NA,NA,NA,NA,NA,NA
"112","2018-07-09",2,"Yes","Strength",60,3.9,240,NA,NA,NA,NA,NA,NA,NA
"113","2018-07-09",2,"Yes","Mobility/Recovery",45,2,90,NA,NA,NA,NA,NA,NA,NA
"114","2018-07-09",3,"Yes","Speed",45,3.9,180,990,370.7,440.36,0.84,NA,NA,"Absolutely"
"115","2018-07-09",3,"Yes","Skills",90,4.2,360,NA,NA,NA,NA,NA,NA,"Absolutely"
"116","2018-07-09",3,"Yes","Strength",90,5.1,450,NA,NA,NA,NA,NA,NA,"Absolutely"
"117","2018-07-09",5,"Yes","Speed",60,3,180,720,102.9,143.93,0.71,8,9,NA
"118","2018-07-09",5,"Yes","Skills",60,2.9,180,NA,NA,NA,NA,8,9,NA
"119","2018-07-09",5,"Yes","Strength",90,4.1,360,NA,NA,NA,NA,8,9,NA
"120","2018-07-09",6,"Yes","Speed",45,3.3,135,845,223.6,452.11,0.49,8,8,NA
"121","2018-07-09",6,"Yes","Skills",90,3.7,360,NA,NA,NA,NA,8,8,NA
"122","2018-07-09",6,"Yes","Strength",70,5.1,350,NA,NA,NA,NA,8,8,NA
"123","2018-07-09",7,"Yes","Speed",45,4.6,225,885,302.1,455.89,0.66,NA,NA,NA
"124","2018-07-09",7,"Yes","Skills",75,4.3,300,NA,NA,NA,NA,NA,NA,NA
"125","2018-07-09",7,"Yes","Strength",60,5.6,360,NA,NA,NA,NA,NA,NA,NA
"126","2018-07-09",10,"Yes","Speed",45,3,135,645,267.9,294.11,0.91,8,8,NA
"127","2018-07-09",10,"Yes","Skills",90,3.1,270,NA,NA,NA,NA,8,8,NA
"128","2018-07-09",10,"Yes","Strength",60,4.1,240,NA,NA,NA,NA,8,8,NA
"129","2018-07-09",11,"Yes","Speed",45,4.2,180,780,265,490.18,0.54,9,9,"Absolutely"
"130","2018-07-09",11,"Yes","Skills",90,4.1,360,NA,NA,NA,NA,9,9,"Absolutely"
"131","2018-07-09",11,"Yes","Strength",60,3.6,240,NA,NA,NA,NA,9,9,"Absolutely"
"132","2018-07-09",13,"Yes","Speed",40,2.8,120,720,140,366.61,0.38,NA,NA,"Not at all"
"133","2018-07-09",13,"Yes","Skills",90,4.7,450,NA,NA,NA,NA,NA,NA,"Not at all"
"134","2018-07-09",13,"Yes","Strength",30,4.8,150,NA,NA,NA,NA,NA,NA,"Not at all"
"135","2018-07-09",13,"Yes","Mobility/Recovery",20,0.2,0,NA,NA,NA,NA,NA,NA,"Not at all"
"136","2018-07-09",14,"Yes","Speed",30,3,90,540,145.7,402.86,0.36,NA,NA,NA
"137","2018-07-09",14,"Yes","Skills",90,3.2,270,NA,NA,NA,NA,NA,NA,NA
"138","2018-07-09",14,"Yes","Strength",45,4.1,180,NA,NA,NA,NA,NA,NA,NA
"139","2018-07-09",15,"Yes","Speed",30,2.9,90,480,137.1,189.11,0.72,8,9,NA
"140","2018-07-09",15,"Yes","Skills",90,2.9,270,NA,NA,NA,NA,8,9,NA
"141","2018-07-09",15,"Yes","Strength",40,3.1,120,NA,NA,NA,NA,8,9,NA
"142","2018-07-09",16,"Yes","Speed",40,3.4,120,855,377.1,478.04,0.79,8,8,NA
"143","2018-07-09",16,"Yes","Skills",90,4,360,NA,NA,NA,NA,8,8,NA
"144","2018-07-09",16,"Yes","Strength",90,3.9,360,NA,NA,NA,NA,8,8,NA
"145","2018-07-09",16,"Yes","Mobility/Recovery",30,0,15,NA,NA,NA,NA,8,8,NA
"146","2018-07-09",17,"Yes","Speed",35,3.9,140,710,101.4,281.29,0.36,7,8,NA
"147","2018-07-09",17,"Yes","Skills",90,3.5,270,NA,NA,NA,NA,7,8,NA
"148","2018-07-09",17,"Yes","Strength",60,4.8,300,NA,NA,NA,NA,7,8,NA
"149","2018-07-08",13,"Yes","Strength",60,2.7,180,260,108.6,340.89,0.32,NA,NA,"Not at all"
"150","2018-07-08",13,"Yes","Speed",20,4.2,80,NA,NA,NA,NA,NA,NA,"Not at all"
"151","2018-07-06",2,"Yes","Speed",40,3.4,160,615,377.9,406.46,0.93,NA,NA,NA
"152","2018-07-06",2,"Yes","Conditioning",60,5.6,360,NA,NA,NA,NA,NA,NA,NA
"153","2018-07-06",2,"Yes","Skills",25,2.9,75,NA,NA,NA,NA,NA,NA,NA
"154","2018-07-06",2,"Yes","Mobility/Recovery",10,1.6,20,NA,NA,NA,NA,NA,NA,NA
"155","2018-07-06",3,"Yes","Speed",45,4,180,765,443.6,417.5,1.06,NA,NA,"Absolutely"
"156","2018-07-06",3,"Yes","Conditioning",60,6.1,360,NA,NA,NA,NA,NA,NA,"Absolutely"
"157","2018-07-06",3,"Yes","Strength",45,4.5,225,NA,NA,NA,NA,NA,NA,"Absolutely"
"158","2018-07-06",4,"Yes","Speed",30,3.4,120,480,360.7,407.11,0.89,7,7,NA
"159","2018-07-06",4,"Yes","Skills",60,5.7,360,NA,NA,NA,NA,7,7,NA
"160","2018-07-06",7,"Yes","Speed",45,4,180,705,415.7,431.14,0.96,NA,NA,NA
"161","2018-07-06",7,"Yes","Skills",75,7,525,NA,NA,NA,NA,NA,NA,NA
"162","2018-07-06",10,"Yes","Speed",45,1.9,90,690,341.4,291.43,1.17,8,8,NA
"163","2018-07-06",10,"Yes","Skills",30,1.7,60,NA,NA,NA,NA,8,8,NA
"164","2018-07-06",10,"Yes","Conditioning",45,8.7,405,NA,NA,NA,NA,8,8,NA
"165","2018-07-06",10,"Yes","Strength",45,2.7,135,NA,NA,NA,NA,8,8,NA
"166","2018-07-06",11,"Yes","Speed",45,3.1,135,610,342.1,466.25,0.73,9,9,"Absolutely"
"167","2018-07-06",11,"Yes","Skills",40,3.4,160,NA,NA,NA,NA,9,9,"Absolutely"
"168","2018-07-06",11,"Yes","Conditioning",45,6.9,315,NA,NA,NA,NA,9,9,"Absolutely"
"169","2018-07-06",14,"Yes","Speed",30,4.4,120,480,231.4,387.14,0.6,NA,NA,NA
"170","2018-07-06",14,"Yes","Skills",60,6.1,360,NA,NA,NA,NA,NA,NA,NA
"171","2018-07-06",16,"Yes","Speed",45,3.1,135,1155,471.4,451.43,1.04,6,7,"Somewhat"
"172","2018-07-06",16,"Yes","Skills",90,8.1,720,NA,NA,NA,NA,6,7,"Somewhat"
"173","2018-07-06",16,"Yes","Strength",60,4.9,300,NA,NA,NA,NA,6,7,"Somewhat"
"174","2018-07-05",1,"Yes","Mobility/Recovery",30,0.4,15,235,150.7,221.54,0.68,NA,NA,NA
"175","2018-07-05",1,"Yes","Skills",90,1.7,180,NA,NA,NA,NA,NA,NA,NA
"176","2018-07-05",1,"Yes","Strength",40,0.4,40,NA,NA,NA,NA,NA,NA,NA
"177","2018-07-05",2,"Yes","Skills",60,3.1,180,630,290,384.5,0.75,NA,NA,NA
"178","2018-07-05",2,"Yes","Mobility/Recovery",90,2.9,270,NA,NA,NA,NA,NA,NA,NA
"179","2018-07-05",2,"Yes","Strength",45,3.8,180,NA,NA,NA,NA,NA,NA,NA
"180","2018-07-05",3,"Yes","Mobility/Recovery",30,1,30,840,334.3,415.18,0.81,NA,NA,NA
"181","2018-07-05",3,"Yes","Skills",90,4.4,360,NA,NA,NA,NA,NA,NA,NA
"182","2018-07-05",3,"Yes","Strength",90,4.8,450,NA,NA,NA,NA,NA,NA,NA
"183","2018-07-05",4,"Yes","Mobility/Recovery",30,0.1,15,575,292.1,389.96,0.75,8,8,NA
"184","2018-07-05",4,"Yes","Skills",90,4,360,NA,NA,NA,NA,8,8,NA
"185","2018-07-05",4,"Yes","Strength",50,4,200,NA,NA,NA,NA,8,8,NA
"186","2018-07-05",6,"Yes","Mobility/Recovery",30,0.8,30,720,340,478.18,0.71,8,8,NA
"187","2018-07-05",6,"Yes","Skills",90,4.8,450,NA,NA,NA,NA,8,8,NA
"188","2018-07-05",6,"Yes","Strength",60,4.3,240,NA,NA,NA,NA,8,8,NA
"189","2018-07-05",7,"Yes","Skills",75,4,300,525,315,419.86,0.75,NA,NA,NA
"190","2018-07-05",7,"Yes","Strength",45,5.1,225,NA,NA,NA,NA,NA,NA,NA
"191","2018-07-05",10,"Yes","Mobility/Recovery",30,1.9,60,540,242.9,266.79,0.91,8,8,NA
"192","2018-07-05",10,"Yes","Skills",75,4.2,300,NA,NA,NA,NA,8,8,NA
"193","2018-07-05",10,"Yes","Strength",60,3.4,180,NA,NA,NA,NA,8,8,NA
"194","2018-07-05",11,"Yes","Mobility/Recovery",30,1.8,60,465,255,455.54,0.56,9,8,"Absolutely"
"195","2018-07-05",11,"Yes","Skills",90,3,270,NA,NA,NA,NA,9,8,"Absolutely"
"196","2018-07-05",11,"Yes","Strength",45,2.9,135,NA,NA,NA,NA,9,8,"Absolutely"
"197","2018-07-05",15,"Yes","Mobility/Recovery",30,2.2,60,480,120,177.82,0.67,7,7,NA
"198","2018-07-05",15,"Yes","Skills",90,2.4,270,NA,NA,NA,NA,7,7,NA
"199","2018-07-05",15,"Yes","Strength",50,2.9,150,NA,NA,NA,NA,7,7,NA
"200","2018-07-05",16,"Yes","Skills",90,4.1,360,630,306.4,418.68,0.73,8,8,NA
"201","2018-07-05",16,"Yes","Mobility/Recovery",60,0.3,30,NA,NA,NA,NA,8,8,NA
"202","2018-07-05",16,"Yes","Strength",60,3.8,240,NA,NA,NA,NA,8,8,NA
"203","2018-07-04",2,"Yes","Mobility/Recovery",50,2,100,100,282.9,380.93,0.74,NA,NA,NA
"204","2018-07-04",13,"Yes","Mobility/Recovery",60,0.3,0,0,194.3,380.68,0.51,NA,NA,"Not at all"
"205","2018-07-03",1,"Yes","Skills",90,4.9,450,450,217.9,233.29,0.93,NA,NA,NA
"206","2018-07-03",2,"Yes","Conditioning",60,8.7,540,660,372.9,377.36,0.99,NA,NA,NA
"207","2018-07-03",2,"Yes","Skills",30,3,90,NA,NA,NA,NA,NA,NA,NA
"208","2018-07-03",2,"Yes","Mobility/Recovery",15,2.3,30,NA,NA,NA,NA,NA,NA,NA
"209","2018-07-03",3,"Yes","Conditioning",60,5.8,360,360,525,426.54,1.23,NA,NA,NA
"210","2018-07-03",4,"Yes","Skills",90,8,720,720,428.9,395.14,1.09,8,8,NA
"211","2018-07-03",6,"Yes","Skills",90,8.1,720,720,508.6,452.46,1.12,8,8,NA
"212","2018-07-03",7,"Yes","Skills",75,0.9,750,750,435,424.86,1.02,NA,NA,NA
"213","2018-07-03",10,"Yes","Skills",20,3.9,80,440,313.6,273.21,1.15,8,8,NA
"214","2018-07-03",10,"Yes","Conditioning",45,7.8,360,NA,NA,NA,NA,8,8,NA
"215","2018-07-03",11,"Yes","Skills",40,2.8,120,585,377.9,485.68,0.78,9,9,"Absolutely"
"216","2018-07-03",11,"Yes","Conditioning",15,0.9,150,NA,NA,NA,NA,9,9,"Absolutely"
"217","2018-07-03",11,"Yes","Conditioning",45,7.2,315,NA,NA,NA,NA,9,9,"Absolutely"
"218","2018-07-03",13,"Yes","Skills",40,5.2,200,500,301.4,391.39,0.77,NA,NA,"Not at all"
"219","2018-07-03",13,"Yes","Conditioning",30,0.9,300,NA,NA,NA,NA,NA,NA,"Not at all"
"220","2018-07-03",13,"Yes","Mobility/Recovery",20,0.4,0,NA,NA,NA,NA,NA,NA,"Not at all"
"221","2018-07-03",14,"Yes","Conditioning",60,9.2,540,540,492.9,389.54,1.27,NA,NA,NA
"222","2018-07-03",15,"Yes","Skills",20,2.8,60,360,51.4,160.68,0.32,7,8,NA
"223","2018-07-03",15,"Yes","Conditioning",20,7.8,160,NA,NA,NA,NA,7,8,NA
"224","2018-07-03",15,"Yes","Skills",20,7.1,140,NA,NA,NA,NA,7,8,NA
"225","2018-07-03",16,"Yes","Strength",45,1.9,90,585,414.3,419.21,0.99,8,5,NA
"226","2018-07-03",16,"Yes","Skills",60,7.5,480,NA,NA,NA,NA,8,5,NA
"227","2018-07-03",16,"Yes","Mobility/Recovery",30,0,15,NA,NA,NA,NA,8,5,NA
"228","2018-07-02",1,"Yes","Speed",35,1.9,70,370,153.6,217.21,0.71,NA,NA,NA
"229","2018-07-02",1,"Yes","Skills",90,2.4,180,NA,NA,NA,NA,NA,NA,NA
"230","2018-07-02",1,"Yes","Strength",60,1.8,120,NA,NA,NA,NA,NA,NA,NA
"231","2018-07-02",2,"Yes","Speed",30,4.2,120,640,278.6,353.79,0.79,NA,NA,NA
"232","2018-07-02",2,"Yes","Skills",60,4.2,240,NA,NA,NA,NA,NA,NA,NA
"233","2018-07-02",2,"Yes","Strength",60,4,240,NA,NA,NA,NA,NA,NA,NA
"234","2018-07-02",2,"Yes","Mobility/Recovery",20,1.8,40,NA,NA,NA,NA,NA,NA,NA
"235","2018-07-02",3,"Yes","Speed",60,5,300,1140,473.6,413.68,1.14,NA,NA,NA
"236","2018-07-02",3,"Yes","Skills",75,4.1,300,NA,NA,NA,NA,NA,NA,NA
"237","2018-07-02",3,"Yes","Strength",90,5.7,540,NA,NA,NA,NA,NA,NA,NA
"238","2018-07-02",4,"Yes","Speed",45,4.6,180,750,326,369.43,0.88,8,8,NA
"239","2018-07-02",4,"Yes","Skills",90,3.1,270,NA,NA,NA,NA,8,8,NA
"240","2018-07-02",4,"Yes","Strength",75,3.9,300,NA,NA,NA,NA,8,8,NA
"241","2018-07-02",6,"Yes","Speed",45,3.9,180,940,405.7,426.75,0.95,8,7,NA
"242","2018-07-02",6,"Yes","Skills",90,4.3,360,NA,NA,NA,NA,8,7,NA
"243","2018-07-02",6,"Yes","Strength",80,5.2,400,NA,NA,NA,NA,8,7,NA
"244","2018-07-02",7,"Yes","Speed",45,5.1,225,750,327.9,398.07,0.82,NA,NA,NA
"245","2018-07-02",7,"Yes","Skills",75,3.4,225,NA,NA,NA,NA,NA,NA,NA
"246","2018-07-02",7,"Yes","Strength",60,5.6,300,NA,NA,NA,NA,NA,NA,NA
"247","2018-07-02",10,"Yes","Speed",45,2.8,135,720,250.7,257.5,0.97,8,8,NA
"248","2018-07-02",10,"Yes","Skills",75,3.3,225,NA,NA,NA,NA,8,8,NA
"249","2018-07-02",10,"Yes","Strength",90,4,360,NA,NA,NA,NA,8,8,NA
"250","2018-07-02",11,"Yes","Speed",45,3.1,135,735,294.3,464.79,0.63,9,9,NA
"251","2018-07-02",11,"Yes","Skills",75,3.2,225,NA,NA,NA,NA,9,9,NA
"252","2018-07-02",11,"Yes","Strength",75,5,375,NA,NA,NA,NA,9,9,NA
"253","2018-07-02",13,"Yes","Speed",40,5.2,200,860,230,373.54,0.62,NA,NA,"Not at all"
"254","2018-07-02",13,"Yes","Skills",90,4,360,NA,NA,NA,NA,NA,NA,"Not at all"
"255","2018-07-02",13,"Yes","Strength",60,5.1,300,NA,NA,NA,NA,NA,NA,"Not at all"
"256","2018-07-02",13,"Yes","Mobility/Recovery",10,0,0,NA,NA,NA,NA,NA,NA,"Not at all"
"257","2018-07-02",14,"Yes","Speed",30,3.9,120,600,415.7,370.25,1.12,NA,NA,NA
"258","2018-07-02",14,"Yes","Skills",60,4.1,240,NA,NA,NA,NA,NA,NA,NA
"259","2018-07-02",14,"Yes","Strength",60,4,240,NA,NA,NA,NA,NA,NA,NA
"260","2018-07-02",16,"Yes","Speed",40,2.8,120,930,339.3,398.32,0.85,8,7,NA
"261","2018-07-02",16,"Yes","Skills",60,2.7,180,NA,NA,NA,NA,8,7,NA
"262","2018-07-02",16,"Yes","Strength",90,6.9,630,NA,NA,NA,NA,8,7,NA
"263","2018-07-02",17,"Yes","Skills",40,3.3,120,551,469.4,363.04,1.29,8,9,NA
"264","2018-07-02",17,"Yes","Conditioning",23,7.3,161,NA,NA,NA,NA,8,9,NA
"265","2018-07-02",17,"Yes","Game",30,8.9,270,NA,NA,NA,NA,8,9,NA
"266","2018-07-01",7,"Yes","Mobility/Recovery",60,3.3,180,180,409.3,407.71,1,NA,NA,NA
