"","City","Age","Distance","Time","Sex"
"135","Atlanta",50,3,10,"M"
"136","Atlanta",33,6,15,"M"
"137","Atlanta",34,30,50,"F"
"138","Atlanta",41,0,10,"M"
"139","Atlanta",36,15,45,"M"
"140","Atlanta",63,0,5,"F"
"141","Atlanta",51,2,2,"M"
"142","Atlanta",31,20,30,"F"
"143","Atlanta",36,12,30,"F"
"144","Atlanta",29,3,7,"F"
"145","Atlanta",42,15,18,"M"
"146","Atlanta",46,3,10,"F"
"147","Atlanta",58,17,25,"M"
"148","Atlanta",39,30,45,"M"
"149","Atlanta",25,60,120,"M"
"150","Atlanta",50,38,45,"M"
"151","Atlanta",35,30,30,"F"
"152","Atlanta",34,2,7,"F"
"153","Atlanta",57,23,35,"M"
"154","Atlanta",36,20,25,"M"
"155","Atlanta",31,20,20,"F"
"156","Atlanta",27,1,3,"F"
"157","Atlanta",33,58,60,"M"
"158","Atlanta",43,7,12,"F"
"159","Atlanta",32,20,30,"M"
"160","Atlanta",56,27,35,"M"
"161","Atlanta",34,3,5,"F"
"162","Atlanta",63,5,10,"F"
"163","Atlanta",38,15,20,"F"
"164","Atlanta",38,17,28,"M"
"165","Atlanta",57,25,40,"F"
"166","Atlanta",25,6,30,"M"
"167","Atlanta",53,5,15,"M"
"168","Atlanta",37,16,32,"M"
"169","Atlanta",59,30,60,"F"
"170","Atlanta",37,10,20,"F"
"171","Atlanta",37,3,15,"M"
"172","Atlanta",28,15,20,"M"
"173","Atlanta",19,0,2,"M"
"174","Atlanta",47,35,40,"F"
"175","Atlanta",51,38,45,"F"
"176","Atlanta",65,50,90,"M"
"177","Atlanta",40,9,20,"F"
"178","Atlanta",22,7,15,"M"
"179","Atlanta",66,23,30,"M"
"180","Atlanta",33,15,45,"F"
"181","Atlanta",47,12,20,"M"
"182","Atlanta",31,12,25,"F"
"183","Atlanta",47,5,15,"F"
"184","Atlanta",55,25,55,"M"
"185","Atlanta",55,8,15,"M"
"186","Atlanta",28,30,30,"M"
"187","Atlanta",19,34,45,"M"
"188","Atlanta",48,35,40,"M"
"189","Atlanta",47,49,90,"M"
"190","Atlanta",43,30,30,"M"
"191","Atlanta",39,60,80,"F"
"192","Atlanta",45,25,30,"F"
"193","Atlanta",66,20,30,"M"
"194","Atlanta",55,62,90,"M"
"195","Atlanta",55,23,23,"F"
"196","Atlanta",28,2,12,"F"
"197","Atlanta",28,20,30,"F"
"198","Atlanta",18,20,25,"F"
"199","Atlanta",50,0,1,"F"
"200","Atlanta",43,10,25,"F"
"201","Atlanta",69,17,30,"F"
"202","Atlanta",64,8,15,"F"
"203","Atlanta",48,37,45,"M"
"204","Atlanta",40,25,75,"F"
"205","Atlanta",48,10,15,"F"
"206","Atlanta",48,30,40,"F"
"207","Atlanta",60,10,20,"M"
"208","Atlanta",49,35,35,"F"
"209","Atlanta",33,5,15,"F"
"210","Atlanta",30,60,80,"F"
"211","Atlanta",54,10,10,"M"
"212","Atlanta",56,17,30,"M"
"213","Atlanta",25,4,15,"F"
"214","Atlanta",36,10,10,"F"
"215","Atlanta",75,25,35,"M"
"216","Atlanta",26,12,50,"F"
"217","Atlanta",40,30,35,"F"
"218","Atlanta",48,10,30,"F"
"219","Atlanta",43,22,35,"F"
"220","Atlanta",41,0,2,"M"
"221","Atlanta",22,5,10,"M"
"222","Atlanta",50,16,30,"F"
"223","Atlanta",27,17,25,"F"
"224","Atlanta",23,0,10,"F"
"225","Atlanta",23,18,25,"M"
"226","Atlanta",52,5,7,"F"
"227","Atlanta",45,35,45,"M"
"228","Atlanta",51,50,60,"M"
"229","Atlanta",55,33,33,"F"
"230","Atlanta",26,10,25,"M"
"231","Atlanta",17,15,15,"M"
"232","Atlanta",61,6,13,"M"
"233","Atlanta",45,10,10,"M"
"234","Atlanta",51,13,20,"M"
"235","Atlanta",54,18,25,"M"
"236","Atlanta",42,4,15,"M"
"237","Atlanta",32,30,40,"M"
"238","Atlanta",38,30,30,"F"
"239","Atlanta",29,1,2,"M"
"240","Atlanta",45,20,20,"M"
"241","Atlanta",47,25,46,"F"
"242","Atlanta",58,30,30,"F"
"243","Atlanta",23,25,30,"M"
"244","Atlanta",51,38,45,"F"
"245","Atlanta",51,18,25,"F"
"246","Atlanta",23,12,20,"F"
"247","Atlanta",43,12,17,"F"
"248","Atlanta",40,39,60,"F"
"249","Atlanta",31,5,15,"M"
"250","Atlanta",28,15,15,"F"
"251","Atlanta",39,8,15,"F"
"252","Atlanta",21,13,30,"M"
"253","Atlanta",40,3,10,"F"
"254","Atlanta",56,30,30,"M"
"255","Atlanta",38,13,20,"M"
"256","Atlanta",44,30,30,"M"
"257","Atlanta",45,50,75,"F"
"258","Atlanta",49,20,20,"F"
"259","Atlanta",22,4,10,"F"
"260","Atlanta",54,8,15,"M"
"261","Atlanta",44,7,20,"M"
"262","Atlanta",31,8,15,"F"
"263","Atlanta",43,26,30,"M"
"264","Atlanta",32,23,30,"M"
"265","Atlanta",32,7,15,"M"
"266","Atlanta",55,7,20,"F"
"267","Atlanta",34,15,20,"F"
"268","Atlanta",54,5,10,"M"
"269","Atlanta",51,22,22,"F"
"270","Atlanta",19,3,10,"M"
"271","Atlanta",47,6,30,"M"
"272","Atlanta",53,10,15,"F"
"273","Atlanta",27,100,181,"M"
"274","Atlanta",47,30,35,"M"
"275","Atlanta",30,10,30,"M"
"276","Atlanta",35,20,35,"M"
"277","Atlanta",28,11,25,"F"
"278","Atlanta",30,2,5,"M"
"279","Atlanta",40,30,30,"F"
"280","Atlanta",42,10,15,"F"
"281","Atlanta",33,6,14,"M"
"282","Atlanta",52,25,60,"F"
"283","Atlanta",17,11,35,"M"
"284","Atlanta",38,3,5,"F"
"285","Atlanta",16,20,25,"F"
"286","Atlanta",52,30,30,"M"
"287","Atlanta",55,35,60,"M"
"288","Atlanta",17,15,20,"F"
"289","Atlanta",34,35,45,"F"
"290","Atlanta",35,6,16,"F"
"291","Atlanta",43,22,25,"M"
"292","Atlanta",49,13,13,"F"
"293","Atlanta",33,30,35,"M"
"294","Atlanta",39,40,45,"M"
"295","Atlanta",41,45,45,"M"
"296","Atlanta",25,7,15,"F"
"297","Atlanta",35,38,45,"M"
"298","Atlanta",17,2,5,"F"
"299","Atlanta",18,12,15,"M"
"300","Atlanta",48,35,40,"M"
"301","Atlanta",35,11,30,"M"
"302","Atlanta",40,38,60,"F"
"303","Atlanta",44,0,3,"F"
"304","Atlanta",55,30,30,"M"
"305","Atlanta",47,30,120,"F"
"306","Atlanta",43,30,45,"M"
"307","Atlanta",52,3,7,"M"
"308","Atlanta",40,1,1,"M"
"309","Atlanta",54,25,25,"M"
"310","Atlanta",44,34,45,"F"
"311","Atlanta",62,45,45,"M"
"312","Atlanta",38,10,20,"F"
"313","Atlanta",26,30,35,"F"
"314","Atlanta",45,5,10,"M"
"315","Atlanta",32,25,25,"M"
"316","Atlanta",52,10,30,"M"
"317","Atlanta",40,25,30,"M"
"318","Atlanta",50,25,25,"M"
"319","Atlanta",29,13,30,"F"
"320","Atlanta",43,22,45,"M"
"321","Atlanta",39,30,30,"M"
"322","Atlanta",50,22,25,"F"
"323","Atlanta",28,35,45,"F"
"324","Atlanta",65,26,27,"M"
"325","Atlanta",50,15,20,"M"
"326","Atlanta",20,8,15,"F"
"327","Atlanta",41,15,40,"F"
"328","Atlanta",54,4,10,"F"
"329","Atlanta",38,15,22,"M"
"330","Atlanta",36,90,90,"M"
"331","Atlanta",27,8,20,"F"
"332","Atlanta",22,30,45,"F"
"333","Atlanta",37,6,15,"F"
"334","Atlanta",35,6,15,"M"
"335","Atlanta",25,25,25,"F"
"336","Atlanta",17,23,45,"F"
"337","Atlanta",31,33,80,"M"
"338","Atlanta",27,15,20,"M"
"339","Atlanta",19,15,20,"F"
"340","Atlanta",42,4,10,"F"
"341","Atlanta",39,5,10,"M"
"342","Atlanta",31,23,45,"F"
"343","Atlanta",57,15,30,"M"
"344","Atlanta",41,20,25,"F"
"345","Atlanta",44,23,45,"M"
"346","Atlanta",32,33,45,"F"
"347","Atlanta",27,36,40,"M"
"348","Atlanta",33,22,38,"F"
"349","Atlanta",39,12,25,"F"
"350","Atlanta",62,10,20,"M"
"351","Atlanta",30,7,15,"M"
"352","Atlanta",37,5,10,"F"
"353","Atlanta",27,12,15,"F"
"354","Atlanta",60,12,20,"M"
"355","Atlanta",18,5,120,"M"
"356","Atlanta",38,10,20,"F"
"357","Atlanta",56,15,15,"F"
"358","Atlanta",43,12,25,"M"
"359","Atlanta",52,25,30,"F"
"360","Atlanta",34,15,45,"F"
"361","Atlanta",33,17,35,"F"
"362","Atlanta",53,25,25,"M"
"363","Atlanta",17,5,7,"F"
"364","Atlanta",39,10,45,"M"
"365","Atlanta",39,12,20,"M"
"366","Atlanta",35,7,20,"M"
"367","Atlanta",46,45,45,"M"
"368","Atlanta",55,10,20,"F"
"369","Atlanta",31,31,45,"M"
"370","Atlanta",54,15,20,"F"
"371","Atlanta",20,3,15,"F"
"372","Atlanta",34,25,30,"M"
"373","Atlanta",33,12,15,"M"
"374","Atlanta",29,20,35,"F"
"375","Atlanta",23,30,90,"F"
"376","Atlanta",16,1,5,"F"
"377","Atlanta",43,15,20,"F"
"378","Atlanta",40,35,40,"M"
"379","Atlanta",38,14,35,"F"
"380","Atlanta",28,7,10,"M"
"381","Atlanta",57,11,23,"M"
"382","Atlanta",23,36,60,"F"
"383","Atlanta",68,15,15,"M"
"384","Atlanta",49,25,45,"F"
"385","Atlanta",17,2,5,"F"
"386","Atlanta",21,20,25,"F"
"387","Atlanta",56,11,20,"F"
"388","Atlanta",34,5,10,"M"
"389","Atlanta",51,12,20,"M"
"390","Atlanta",16,12,25,"M"
"391","Atlanta",43,28,45,"M"
"392","Atlanta",44,22,45,"M"
"393","Atlanta",25,35,45,"F"
"394","Atlanta",49,18,18,"F"
"395","Atlanta",19,15,15,"M"
"396","Atlanta",35,25,25,"F"
"397","Atlanta",41,1,3,"F"
"398","Atlanta",34,8,20,"M"
"399","Atlanta",46,12,15,"M"
"400","Atlanta",39,5,10,"F"
"401","Atlanta",48,14,18,"F"
"402","Atlanta",33,12,20,"F"
"403","Atlanta",39,15,30,"F"
"404","Atlanta",57,10,15,"F"
"405","Atlanta",37,10,10,"F"
"406","Atlanta",48,6,60,"F"
"407","Atlanta",32,20,20,"F"
"408","Atlanta",28,6,10,"F"
"409","Atlanta",42,8,15,"M"
"410","Atlanta",44,30,30,"F"
"411","Atlanta",55,5,12,"M"
"412","Atlanta",37,10,10,"F"
"413","Atlanta",58,10,25,"M"
"414","Atlanta",52,20,20,"M"
"415","Atlanta",30,0,5,"M"
"416","Atlanta",57,13,20,"F"
"417","Atlanta",30,0,3,"F"
"418","Atlanta",28,20,30,"M"
"419","Atlanta",56,25,30,"M"
"420","Atlanta",30,35,45,"F"
"421","Atlanta",36,4,20,"F"
"422","Atlanta",35,20,35,"M"
"423","Atlanta",53,3,10,"M"
"424","Atlanta",44,10,30,"F"
"425","Atlanta",27,30,30,"F"
"426","Atlanta",48,15,40,"F"
"427","Atlanta",46,12,60,"M"
"428","Atlanta",25,35,60,"M"
"429","Atlanta",34,25,40,"F"
"430","Atlanta",53,20,30,"M"
"431","Atlanta",49,8,10,"M"
"432","Atlanta",37,45,60,"M"
"433","Atlanta",43,10,12,"F"
"434","Atlanta",85,25,30,"F"
"435","Atlanta",32,15,35,"M"
"436","Atlanta",57,8,15,"M"
"437","Atlanta",45,4,7,"M"
"438","Atlanta",39,3,10,"F"
"439","Atlanta",44,28,30,"M"
"440","Atlanta",43,6,10,"F"
"441","Atlanta",26,5,10,"F"
"442","Atlanta",48,10,15,"F"
"443","Atlanta",22,7,15,"F"
"444","Atlanta",43,10,10,"M"
"445","Atlanta",49,46,80,"M"
"446","Atlanta",44,3,15,"M"
"447","Atlanta",49,35,35,"F"
"448","Atlanta",21,20,25,"F"
"449","Atlanta",57,27,50,"M"
"450","Atlanta",26,15,20,"M"
"451","Atlanta",44,20,60,"M"
"452","Atlanta",36,32,40,"M"
"453","Atlanta",37,15,30,"F"
"454","Atlanta",35,10,20,"F"
"455","Atlanta",31,20,20,"M"
"456","Atlanta",27,40,60,"F"
"457","Atlanta",30,23,30,"F"
"458","Atlanta",28,18,25,"F"
"459","Atlanta",24,10,15,"M"
"460","Atlanta",46,22,60,"M"
"461","Atlanta",27,15,30,"F"
"462","Atlanta",27,12,20,"M"
"463","Atlanta",40,35,35,"F"
"464","Atlanta",45,10,15,"F"
"465","Atlanta",35,30,55,"F"
"466","Atlanta",42,35,40,"F"
"467","Atlanta",46,18,25,"M"
"468","Atlanta",51,14,25,"F"
"469","Atlanta",34,15,45,"F"
"470","Atlanta",58,5,5,"F"
"471","Atlanta",22,0,1,"F"
"472","Atlanta",38,7,15,"M"
"473","Atlanta",47,20,30,"F"
"474","Atlanta",58,16,25,"F"
"475","Atlanta",39,38,45,"F"
"476","Atlanta",37,20,45,"F"
"477","Atlanta",29,22,22,"M"
"478","Atlanta",31,30,30,"F"
"479","Atlanta",39,14,30,"F"
"480","Atlanta",34,1,1,"F"
"481","Atlanta",43,45,60,"M"
"482","Atlanta",58,15,20,"M"
"483","Atlanta",57,22,45,"F"
"484","Atlanta",32,9,15,"M"
"485","Atlanta",27,15,30,"M"
"486","Atlanta",44,15,30,"M"
"487","Atlanta",52,20,45,"M"
"488","Atlanta",25,30,30,"M"
"489","Atlanta",25,25,63,"M"
"490","Atlanta",50,15,30,"M"
"491","Atlanta",27,25,34,"M"
"492","Atlanta",28,9,15,"M"
"493","Atlanta",23,15,30,"M"
"494","Atlanta",43,10,20,"M"
"495","Atlanta",42,26,65,"M"
"496","Atlanta",28,3,5,"F"
"497","Atlanta",28,10,12,"F"
"498","Atlanta",32,18,60,"F"
"499","Atlanta",42,34,34,"M"
"500","Atlanta",40,13,25,"F"
"501","St. Louis",52,10,20,"M"
"502","St. Louis",21,35,40,"F"
"503","St. Louis",23,40,45,"F"
"504","St. Louis",38,0,2,"M"
"505","St. Louis",26,15,25,"M"
"506","St. Louis",46,7,12,"M"
"507","St. Louis",28,15,15,"F"
"508","St. Louis",19,10,15,"F"
"509","St. Louis",21,5,10,"F"
"510","St. Louis",46,12,25,"M"
"511","St. Louis",45,2,2,"F"
"512","St. Louis",52,10,20,"F"
"513","St. Louis",49,25,37,"F"
"514","St. Louis",52,11,20,"M"
"515","St. Louis",39,14,40,"M"
"516","St. Louis",44,10,30,"F"
"517","St. Louis",62,4,20,"F"
"518","St. Louis",39,25,35,"M"
"519","St. Louis",46,6,15,"F"
"520","St. Louis",28,6,8,"M"
"521","St. Louis",46,28,30,"M"
"522","St. Louis",34,22,30,"M"
"523","St. Louis",47,5,10,"F"
"524","St. Louis",33,16,20,"M"
"525","St. Louis",52,12,12,"F"
"526","St. Louis",54,5,20,"F"
"527","St. Louis",31,25,25,"M"
"528","St. Louis",29,2,10,"M"
"529","St. Louis",52,5,20,"F"
"530","St. Louis",25,3,10,"F"
"531","St. Louis",41,8,10,"F"
"532","St. Louis",26,12,20,"F"
"533","St. Louis",44,7,10,"M"
"534","St. Louis",27,1,3,"M"
"535","St. Louis",40,18,25,"M"
"536","St. Louis",22,25,25,"M"
"537","St. Louis",34,10,19,"M"
"538","St. Louis",36,20,30,"M"
"539","St. Louis",20,8,15,"F"
"540","St. Louis",51,8,30,"F"
"541","St. Louis",71,12,15,"F"
"542","St. Louis",34,7,20,"F"
"543","St. Louis",28,7,15,"M"
"544","St. Louis",18,25,30,"M"
"545","St. Louis",47,3,15,"F"
"546","St. Louis",28,40,40,"M"
"547","St. Louis",48,25,30,"M"
"548","St. Louis",55,40,45,"M"
"549","St. Louis",66,3,7,"F"
"550","St. Louis",26,2,5,"M"
"551","St. Louis",52,0,2,"M"
"552","St. Louis",64,12,15,"M"
"553","St. Louis",20,6,10,"F"
"554","St. Louis",57,28,35,"F"
"555","St. Louis",43,3,7,"M"
"556","St. Louis",30,12,30,"F"
"557","St. Louis",34,10,20,"M"
"558","St. Louis",78,10,20,"F"
"559","St. Louis",25,10,25,"M"
"560","St. Louis",50,16,25,"F"
"561","St. Louis",46,0,10,"M"
"562","St. Louis",57,18,35,"M"
"563","St. Louis",35,23,45,"M"
"564","St. Louis",64,8,10,"M"
"565","St. Louis",41,5,20,"F"
"566","St. Louis",29,11,15,"M"
"567","St. Louis",45,20,30,"M"
"568","St. Louis",34,0,5,"M"
"569","St. Louis",28,20,30,"F"
"570","St. Louis",52,12,25,"F"
"571","St. Louis",42,17,30,"F"
"572","St. Louis",55,7,15,"M"
"573","St. Louis",47,15,30,"F"
"574","St. Louis",33,10,10,"F"
"575","St. Louis",65,12,15,"F"
"576","St. Louis",55,3,3,"F"
"577","St. Louis",22,5,10,"F"
"578","St. Louis",20,10,15,"F"
"579","St. Louis",44,37,40,"F"
"580","St. Louis",64,24,45,"F"
"581","St. Louis",46,4,10,"F"
"582","St. Louis",43,20,30,"M"
"583","St. Louis",45,9,35,"F"
"584","St. Louis",21,15,20,"M"
"585","St. Louis",33,20,30,"M"
"586","St. Louis",66,10,20,"F"
"587","St. Louis",27,12,20,"M"
"588","St. Louis",35,12,25,"M"
"589","St. Louis",58,15,15,"M"
"590","St. Louis",23,17,20,"F"
"591","St. Louis",44,25,45,"M"
"592","St. Louis",59,3,6,"F"
"593","St. Louis",52,5,5,"M"
"594","St. Louis",26,10,10,"M"
"595","St. Louis",30,14,30,"F"
"596","St. Louis",19,5,5,"F"
"597","St. Louis",35,22,30,"F"
"598","St. Louis",26,10,20,"M"
"599","St. Louis",30,0,1,"M"
"600","St. Louis",27,25,30,"F"
"601","St. Louis",47,10,10,"F"
"602","St. Louis",50,15,15,"M"
"603","St. Louis",53,10,30,"F"
"604","St. Louis",41,10,14,"F"
"605","St. Louis",48,5,10,"F"
"606","St. Louis",43,4,15,"M"
"607","St. Louis",50,1,10,"M"
"608","St. Louis",19,18,40,"F"
"609","St. Louis",61,0,2,"M"
"610","St. Louis",33,9,15,"M"
"611","St. Louis",57,44,45,"M"
"612","St. Louis",50,6,15,"F"
"613","St. Louis",54,3,10,"M"
"614","St. Louis",28,20,30,"M"
"615","St. Louis",40,2,10,"M"
"616","St. Louis",32,3,10,"M"
"617","St. Louis",72,8,15,"F"
"618","St. Louis",53,30,45,"M"
"619","St. Louis",54,45,45,"M"
"620","St. Louis",54,22,30,"F"
"621","St. Louis",39,35,40,"F"
"622","St. Louis",37,9,15,"F"
"623","St. Louis",25,8,25,"M"
"624","St. Louis",40,53,56,"M"
"625","St. Louis",55,15,20,"M"
"626","St. Louis",17,5,10,"M"
"627","St. Louis",50,15,20,"M"
"628","St. Louis",39,10,10,"F"
"629","St. Louis",62,3,6,"F"
"630","St. Louis",45,25,30,"M"
"631","St. Louis",33,25,35,"M"
"632","St. Louis",30,33,75,"F"
"633","St. Louis",40,20,25,"F"
"634","St. Louis",42,42,45,"F"
"635","St. Louis",45,0,10,"M"
"636","St. Louis",42,23,45,"M"
"637","St. Louis",17,15,15,"F"
"638","St. Louis",74,15,25,"F"
"639","St. Louis",55,16,20,"M"
"640","St. Louis",28,7,10,"F"
"641","St. Louis",48,7,15,"M"
"642","St. Louis",48,5,5,"F"
"643","St. Louis",46,29,45,"M"
"644","St. Louis",29,15,15,"M"
"645","St. Louis",55,19,30,"F"
"646","St. Louis",48,30,35,"M"
"647","St. Louis",47,10,20,"M"
"648","St. Louis",22,27,40,"M"
"649","St. Louis",47,37,60,"F"
"650","St. Louis",51,13,30,"M"
"651","St. Louis",32,10,15,"F"
"652","St. Louis",38,2,10,"M"
"653","St. Louis",46,9,15,"F"
"654","St. Louis",18,10,20,"F"
"655","St. Louis",66,26,45,"M"
"656","St. Louis",25,11,15,"F"
"657","St. Louis",22,15,25,"M"
"658","St. Louis",37,20,30,"F"
"659","St. Louis",56,12,12,"F"
"660","St. Louis",37,7,20,"F"
"661","St. Louis",57,22,25,"F"
"662","St. Louis",17,20,30,"F"
"663","St. Louis",48,5,10,"F"
"664","St. Louis",16,10,15,"F"
"665","St. Louis",35,12,15,"M"
"666","St. Louis",55,5,20,"F"
"667","St. Louis",19,10,15,"M"
"668","St. Louis",40,0,5,"M"
"669","St. Louis",36,9,15,"F"
"670","St. Louis",50,15,25,"F"
"671","St. Louis",69,20,30,"M"
"672","St. Louis",50,12,35,"F"
"673","St. Louis",51,27,30,"F"
"674","St. Louis",51,40,40,"F"
"675","St. Louis",39,2,5,"F"
"676","St. Louis",61,22,30,"M"
"677","St. Louis",22,4,5,"M"
"678","St. Louis",24,10,20,"F"
"679","St. Louis",53,10,15,"F"
"680","St. Louis",68,2,5,"M"
"681","St. Louis",30,6,15,"F"
"682","St. Louis",47,10,25,"F"
"683","St. Louis",44,12,25,"M"
"684","St. Louis",24,5,10,"M"
"685","St. Louis",41,5,20,"M"
"686","St. Louis",32,10,20,"F"
"687","St. Louis",28,4,5,"M"
"688","St. Louis",45,10,20,"F"
"689","St. Louis",47,65,65,"M"
"690","St. Louis",30,30,40,"F"
"691","St. Louis",35,7,15,"M"
"692","St. Louis",30,10,20,"F"
"693","St. Louis",44,6,30,"M"
"694","St. Louis",40,15,20,"M"
"695","St. Louis",51,5,20,"F"
"696","St. Louis",38,5,15,"M"
"697","St. Louis",17,5,10,"F"
"698","St. Louis",47,28,40,"M"
"699","St. Louis",46,22,35,"F"
"700","St. Louis",56,27,40,"F"
"701","St. Louis",51,3,5,"M"
"702","St. Louis",22,15,15,"F"
"703","St. Louis",23,0,5,"M"
"704","St. Louis",54,3,10,"F"
"705","St. Louis",46,20,25,"F"
"706","St. Louis",45,22,25,"M"
"707","St. Louis",42,36,40,"M"
"708","St. Louis",56,35,45,"F"
"709","St. Louis",60,5,20,"F"
"710","St. Louis",59,80,105,"F"
"711","St. Louis",34,15,20,"M"
"712","St. Louis",35,21,25,"F"
"713","St. Louis",71,20,30,"M"
"714","St. Louis",37,17,30,"M"
"715","St. Louis",37,8,10,"M"
"716","St. Louis",44,19,30,"M"
"717","St. Louis",28,10,15,"F"
"718","St. Louis",45,18,25,"M"
"719","St. Louis",17,10,20,"M"
"720","St. Louis",25,8,15,"M"
"721","St. Louis",30,3,5,"M"
"722","St. Louis",25,25,30,"M"
"723","St. Louis",64,6,10,"M"
"724","St. Louis",58,3,3,"F"
"725","St. Louis",27,23,45,"M"
"726","St. Louis",17,15,15,"M"
"727","St. Louis",60,11,15,"F"
"728","St. Louis",45,15,25,"F"
"729","St. Louis",52,10,15,"F"
"730","St. Louis",25,4,7,"F"
"731","St. Louis",47,14,20,"M"
"732","St. Louis",16,12,20,"M"
"733","St. Louis",50,15,35,"M"
"734","St. Louis",35,22,30,"F"
