"","Education","MaritalStatus","HHIncome2"
"84","9 - 11th Grade","Married","20000-24999"
"85","College Grad","Married","35000-44999"
"86","9 - 11th Grade","Divorced","35000-44999"
"87","9 - 11th Grade","Widowed","75000-99999"
"88","College Grad","NeverMarried","<20000"
"89","9 - 11th Grade","Married","55000-64999"
"90","9 - 11th Grade","Married","55000-64999"
"91","9 - 11th Grade","Married","55000-64999"
"92","9 - 11th Grade","Married","25000-34999"
"93","9 - 11th Grade","Married","25000-34999"
"94","Some College","Married","75000-99999"
"95","Some College","NeverMarried","<20000"
"96","9 - 11th Grade","Married","75000-99999"
"97","9 - 11th Grade","Married","75000-99999"
"98","9 - 11th Grade","Married","<20000"
"99","Some College","Married","25000-34999"
"100","Some College","Married","<20000"
"101","High School","NeverMarried","35000-44999"
"102","College Grad","Married","75000-99999"
"103","College Grad","Married","75000-99999"
"104","Some College","Married","<20000"
"105","Some College","Married","<20000"
"106","9 - 11th Grade","Widowed","<20000"
"107","College Grad","Married","35000-44999"
"108","College Grad","Married","35000-44999"
"109","High School","Married","more 99999"
"110","College Grad","Married","65000-74999"
"111","College Grad","Married","65000-74999"
"112","College Grad","Married","65000-74999"
"113","College Grad","Married","65000-74999"
"114","8th Grade","LivePartner","25000-34999"
"115","College Grad","Married","55000-64999"
"116","Some College","Married","more 99999"
"117","Some College","Married","more 99999"
"118","College Grad","Widowed","45000-54999"
"119","College Grad","Married","35000-44999"
"120","College Grad","Married","more 99999"
"121","College Grad","Married","more 99999"
"122","Some College","Married","<20000"
"123","College Grad","Married","75000-99999"
"124","College Grad","Married","75000-99999"
"125","8th Grade","Married","20000-24999"
"126","8th Grade","Married","20000-24999"
"127","High School","NeverMarried","65000-74999"
"128","High School","Married","35000-44999"
"129","High School","Married","35000-44999"
"130","Some College","Married","35000-44999"
"131","Some College","Married","<20000"
"132","Some College","Married","<20000"
"133","9 - 11th Grade","Widowed","25000-34999"
"134","9 - 11th Grade","Widowed","25000-34999"
"135","College Grad","Married","more 99999"
"136","College Grad","Married","more 99999"
"137","Some College","NeverMarried","35000-44999"
"138","Some College","NeverMarried","35000-44999"
"139","College Grad","Married","45000-54999"
"140","8th Grade","LivePartner","<20000"
"141","Some College","Married","65000-74999"
"142","Some College","Married","65000-74999"
"143","8th Grade","Married","<20000"
"144","Some College","Married","55000-64999"
"145","Some College","Married","35000-44999"
"146","College Grad","Married","more 99999"
"147","College Grad","Married","more 99999"
"148","9 - 11th Grade","Widowed","25000-34999"
"149","College Grad","Divorced","75000-99999"
"150","9 - 11th Grade","Married","20000-24999"
"151","9 - 11th Grade","Married","25000-34999"
"152","9 - 11th Grade","Married","25000-34999"
"153","9 - 11th Grade","Married","25000-34999"
"154","College Grad","Married","65000-74999"
"155","College Grad","Married","65000-74999"
"156","Some College","NeverMarried","<20000"
"157","Some College","NeverMarried","<20000"
"158","High School","Married","more 99999"
"159","College Grad","Widowed","35000-44999"
"160","College Grad","Married","more 99999"
"161","College Grad","Married","more 99999"
"162","Some College","Married","75000-99999"
"163","Some College","Married","75000-99999"
"164","High School","Widowed","<20000"
"165","Some College","Married","65000-74999"
"166","9 - 11th Grade","LivePartner","<20000"
"167","9 - 11th Grade","LivePartner","<20000"
"168","Some College","Married","35000-44999"
"169","Some College","Married","35000-44999"
"170","Some College","Married","35000-44999"
"171","9 - 11th Grade","Widowed","25000-34999"
"172","9 - 11th Grade","Widowed","25000-34999"
"173","Some College","Married","more 99999"
"174","Some College","Married","55000-64999"
"175","8th Grade","Married","more 99999"
"176","8th Grade","Married","more 99999"
"177","8th Grade","Married","more 99999"
"178","College Grad","Married","65000-74999"
"179","High School","Separated","45000-54999"
"180","High School","Divorced","55000-64999"
"181","High School","Divorced","55000-64999"
"182","High School","Divorced","20000-24999"
"183","Some College","Married","35000-44999"
"184","Some College","Divorced","55000-64999"
"185","College Grad","Married","more 99999"
"186","College Grad","Married","more 99999"
"187","College Grad","Divorced","25000-34999"
"188","9 - 11th Grade","Married","35000-44999"
"189","Some College","LivePartner","75000-99999"
"190","Some College","LivePartner","75000-99999"
"191","9 - 11th Grade","Married","45000-54999"
"192","Some College","LivePartner","75000-99999"
"193","Some College","Separated","55000-64999"
"194","High School","Married","more 99999"
"195","Some College","Married","75000-99999"
"196","Some College","Married","75000-99999"
"197","High School","Married","55000-64999"
"198","High School","NeverMarried","25000-34999"
"199","Some College","Married","45000-54999"
"200","Some College","Married","45000-54999"
"201","High School","NeverMarried","25000-34999"
"202","College Grad","Married","more 99999"
"203","College Grad","Married","more 99999"
"204","College Grad","Married","more 99999"
"205","College Grad","Married","45000-54999"
"206","College Grad","Married","45000-54999"
"207","High School","NeverMarried","35000-44999"
"208","College Grad","Married","more 99999"
"209","Some College","Widowed","35000-44999"
"210","Some College","Widowed","35000-44999"
"211","Some College","Widowed","35000-44999"
"212","Some College","Widowed","35000-44999"
"213","9 - 11th Grade","NeverMarried","<20000"
"214","9 - 11th Grade","Married","45000-54999"
"215","9 - 11th Grade","Married","45000-54999"
"216","Some College","Married","75000-99999"
"217","Some College","Married","75000-99999"
"218","9 - 11th Grade","Divorced","25000-34999"
"219","9 - 11th Grade","Divorced","25000-34999"
"220","Some College","NeverMarried","35000-44999"
"221","College Grad","NeverMarried","45000-54999"
"222","College Grad","NeverMarried","45000-54999"
"223","8th Grade","Widowed","20000-24999"
"224","8th Grade","Widowed","20000-24999"
"225","High School","Married","<20000"
"226","College Grad","NeverMarried","75000-99999"
"227","9 - 11th Grade","Married","<20000"
"228","Some College","NeverMarried","more 99999"
"229","Some College","NeverMarried","more 99999"
"230","High School","Widowed","45000-54999"
"231","High School","Married","55000-64999"
"232","High School","Married","75000-99999"
"233","High School","Married","75000-99999"
"234","Some College","Married","more 99999"
"235","High School","Married","55000-64999"
"236","Some College","NeverMarried","<20000"
"237","College Grad","Married","more 99999"
"238","College Grad","Married","more 99999"
"239","College Grad","Married","more 99999"
"240","9 - 11th Grade","Married","<20000"
"241","Some College","Divorced","55000-64999"
"242","High School","Married","25000-34999"
"243","High School","Married","45000-54999"
"244","High School","Married","45000-54999"
"245","Some College","Married","75000-99999"
"246","Some College","Divorced","45000-54999"
"247","Some College","Married","more 99999"
"248","High School","NeverMarried","<20000"
"249","8th Grade","Widowed","45000-54999"
"250","High School","Widowed","20000-24999"
"251","9 - 11th Grade","NeverMarried","35000-44999"
"252","Some College","Married","55000-64999"
"253","8th Grade","Divorced","45000-54999"
"254","8th Grade","Divorced","45000-54999"
"255","9 - 11th Grade","NeverMarried","35000-44999"
"256","College Grad","Married","65000-74999"
"257","8th Grade","Widowed","25000-34999"
"258","High School","Married","75000-99999"
"259","Some College","Married","more 99999"
"260","College Grad","Married","more 99999"
"261","College Grad","Married","more 99999"
"262","Some College","Divorced","45000-54999"
"263","High School","Widowed","<20000"
"264","8th Grade","LivePartner","<20000"
"265","Some College","NeverMarried","<20000"
"266","Some College","Married","25000-34999"
"267","9 - 11th Grade","LivePartner","more 99999"
"268","Some College","Married","35000-44999"
"269","Some College","Married","35000-44999"
"270","Some College","Married","35000-44999"
"271","Some College","NeverMarried","25000-34999"
"272","9 - 11th Grade","Divorced","<20000"
"273","Some College","Married","75000-99999"
"274","Some College","Married","75000-99999"
"275","9 - 11th Grade","Married","45000-54999"
"276","High School","NeverMarried","20000-24999"
"277","9 - 11th Grade","Widowed","55000-64999"
"278","9 - 11th Grade","Widowed","55000-64999"
"279","High School","Married","25000-34999"
"280","High School","Married","more 99999"
"281","High School","Married","more 99999"
"282","High School","Married","more 99999"
"283","Some College","Married","45000-54999"
"284","Some College","NeverMarried","75000-99999"
"285","Some College","NeverMarried","75000-99999"
"286","9 - 11th Grade","Married","25000-34999"
"287","9 - 11th Grade","Married","25000-34999"
"288","9 - 11th Grade","Married","25000-34999"
"289","College Grad","NeverMarried","55000-64999"
"290","College Grad","Divorced","35000-44999"
"291","College Grad","Divorced","35000-44999"
"292","Some College","Married","55000-64999"
"293","Some College","Married","55000-64999"
"294","Some College","Married","35000-44999"
"295","Some College","Married","35000-44999"
"296","Some College","Married","35000-44999"
"297","Some College","NeverMarried","more 99999"
"298","Some College","NeverMarried","more 99999"
"299","8th Grade","LivePartner","25000-34999"
"300","8th Grade","Married","<20000"
"301","College Grad","Married","55000-64999"
"302","College Grad","Married","55000-64999"
"303","College Grad","Married","55000-64999"
"304","High School","LivePartner","25000-34999"
"305","Some College","Married","more 99999"
"306","Some College","Married","more 99999"
"307","Some College","Married","more 99999"
"308","Some College","Married","more 99999"
"309","8th Grade","Widowed","20000-24999"
"310","College Grad","Married","more 99999"
"311","9 - 11th Grade","Divorced","45000-54999"
"312","College Grad","Married","65000-74999"
"313","College Grad","Married","65000-74999"
"314","High School","Married","more 99999"
"315","High School","Married","more 99999"
"316","High School","Married","45000-54999"
"317","High School","Married","45000-54999"
"318","College Grad","Married","more 99999"
"319","9 - 11th Grade","Married","<20000"
"320","College Grad","Married","more 99999"
"321","College Grad","Married","more 99999"
"322","High School","Married","75000-99999"
"323","High School","NeverMarried","25000-34999"
"324","Some College","Married","45000-54999"
"325","Some College","Married","45000-54999"
"326","Some College","Married","45000-54999"
"327","9 - 11th Grade","LivePartner","more 99999"
"328","Some College","NeverMarried","45000-54999"
"329","High School","LivePartner","20000-24999"
"330","High School","NeverMarried","<20000"
"331","Some College","Divorced","35000-44999"
"332","Some College","Divorced","35000-44999"
"333","College Grad","Married","more 99999"
"334","College Grad","Widowed","75000-99999"
"335","College Grad","Widowed","75000-99999"
"336","Some College","Married","more 99999"
"337","College Grad","Married","more 99999"
"338","College Grad","Married","more 99999"
"339","High School","Married","35000-44999"
"340","High School","Married","35000-44999"
"341","College Grad","Married","more 99999"
"342","College Grad","Married","more 99999"
"343","High School","NeverMarried","<20000"
"344","High School","NeverMarried","55000-64999"
"345","9 - 11th Grade","Married","45000-54999"
"346","Some College","Married","<20000"
"347","Some College","Married","<20000"
"348","High School","LivePartner","25000-34999"
"349","High School","LivePartner","25000-34999"
"350","High School","LivePartner","25000-34999"
"351","High School","LivePartner","25000-34999"
"352","9 - 11th Grade","Married","45000-54999"
"353","High School","Widowed","25000-34999"
"354","8th Grade","Married","35000-44999"
"355","High School","Married","20000-24999"
"356","High School","Married","<20000"
"357","Some College","Married","75000-99999"
"358","College Grad","Widowed","25000-34999"
"359","Some College","Married","45000-54999"
"360","High School","Divorced","75000-99999"
"361","High School","Widowed","<20000"
"362","9 - 11th Grade","Widowed","<20000"
"363","College Grad","Married","75000-99999"
"364","College Grad","Married","more 99999"
"365","8th Grade","Married","25000-34999"
"366","College Grad","Married","more 99999"
"367","High School","Married","45000-54999"
"368","College Grad","Married","more 99999"
"369","College Grad","Married","more 99999"
"370","9 - 11th Grade","NeverMarried","75000-99999"
"371","9 - 11th Grade","Divorced","<20000"
"372","High School","Married","35000-44999"
"373","High School","Married","35000-44999"
"374","Some College","LivePartner","45000-54999"
"375","College Grad","Married","75000-99999"
"376","College Grad","Married","75000-99999"
"377","High School","Divorced","35000-44999"
"378","Some College","Married","25000-34999"
"379","Some College","Married","25000-34999"
"380","Some College","Divorced","75000-99999"
"381","High School","Married","65000-74999"
"382","High School","Married","55000-64999"
"383","High School","Married","55000-64999"
"384","8th Grade","LivePartner","55000-64999"
"385","High School","Married","more 99999"
"386","9 - 11th Grade","Married","55000-64999"
"387","9 - 11th Grade","Married","65000-74999"
"388","9 - 11th Grade","Married","65000-74999"
"389","High School","NeverMarried","25000-34999"
"390","High School","Married","<20000"
"391","College Grad","Married","more 99999"
"392","Some College","Married","45000-54999"
"393","Some College","Married","45000-54999"
"394","Some College","Married","45000-54999"
"395","College Grad","Married","65000-74999"
"396","College Grad","Married","65000-74999"
"397","College Grad","Married","65000-74999"
"398","College Grad","NeverMarried","75000-99999"
"399","College Grad","NeverMarried","75000-99999"
"400","College Grad","Married","more 99999"
"401","Some College","Married","<20000"
"402","High School","Divorced","25000-34999"
"403","College Grad","Married","more 99999"
"404","College Grad","Widowed","<20000"
"405","8th Grade","Married","25000-34999"
"406","8th Grade","Married","25000-34999"
"407","High School","Separated","<20000"
"408","College Grad","NeverMarried","25000-34999"
"409","Some College","Divorced","<20000"
"410","Some College","Married","25000-34999"
"411","Some College","Married","25000-34999"
"412","Some College","Married","25000-34999"
"413","High School","Widowed","20000-24999"
"414","High School","Widowed","20000-24999"
"415","College Grad","NeverMarried","25000-34999"
"416","Some College","Married","45000-54999"
"417","Some College","Married","45000-54999"
"418","High School","NeverMarried","35000-44999"
"419","High School","NeverMarried","35000-44999"
"420","8th Grade","Married","<20000"
"421","Some College","Married","75000-99999"
"422","Some College","Married","75000-99999"
"423","Some College","Married","35000-44999"
"424","College Grad","Separated","25000-34999"
"425","High School","NeverMarried","35000-44999"
"426","College Grad","Married","more 99999"
"427","College Grad","Married","more 99999"
"428","High School","Married","65000-74999"
"429","Some College","NeverMarried","<20000"
"430","College Grad","NeverMarried","20000-24999"
"431","College Grad","NeverMarried","65000-74999"
"432","College Grad","NeverMarried","65000-74999"
"433","Some College","Married","75000-99999"
"434","Some College","Married","75000-99999"
"435","College Grad","Married","75000-99999"
"436","Some College","Married","75000-99999"
"437","Some College","Married","75000-99999"
"438","9 - 11th Grade","NeverMarried","20000-24999"
"439","High School","Married","45000-54999"
"440","Some College","Married","more 99999"
"441","Some College","Married","more 99999"
"442","Some College","Married","more 99999"
"443","Some College","NeverMarried","more 99999"
"444","Some College","NeverMarried","more 99999"
"445","Some College","NeverMarried","more 99999"
"446","High School","NeverMarried","more 99999"
"447","High School","Married","45000-54999"
"448","College Grad","Married","more 99999"
"449","College Grad","Married","more 99999"
"450","College Grad","Married","more 99999"
"451","Some College","Widowed","20000-24999"
"452","College Grad","Married","more 99999"
"453","College Grad","Married","more 99999"
"454","Some College","Widowed","more 99999"
"455","College Grad","LivePartner","55000-64999"
"456","Some College","Married","more 99999"
"457","College Grad","Divorced","more 99999"
"458","High School","NeverMarried","20000-24999"
"459","College Grad","NeverMarried","more 99999"
"460","College Grad","NeverMarried","more 99999"
"461","9 - 11th Grade","Separated","<20000"
"462","College Grad","Married","more 99999"
"463","College Grad","Married","more 99999"
"464","Some College","Married","25000-34999"
"465","Some College","Married","25000-34999"
"466","Some College","Married","75000-99999"
"467","Some College","Married","20000-24999"
"468","College Grad","Married","more 99999"
"469","College Grad","Married","more 99999"
"470","College Grad","Widowed","45000-54999"
"471","College Grad","Widowed","45000-54999"
"472","College Grad","Married","more 99999"
"473","College Grad","Married","more 99999"
"474","College Grad","Married","more 99999"
"475","College Grad","NeverMarried","35000-44999"
"476","9 - 11th Grade","LivePartner","35000-44999"
"477","High School","Widowed","more 99999"
"478","Some College","Married","75000-99999"
"479","Some College","Married","75000-99999"
"480","9 - 11th Grade","NeverMarried","<20000"
"481","College Grad","Widowed","more 99999"
"482","College Grad","Married","more 99999"
"483","College Grad","Married","more 99999"
"484","College Grad","Married","more 99999"
"485","College Grad","Married","more 99999"
"486","9 - 11th Grade","Married","35000-44999"
"487","College Grad","Married","more 99999"
"488","High School","Married","more 99999"
"489","9 - 11th Grade","Married","35000-44999"
"490","9 - 11th Grade","Married","35000-44999"
"491","9 - 11th Grade","Married","<20000"
"492","9 - 11th Grade","NeverMarried","<20000"
"493","Some College","Married","75000-99999"
"494","College Grad","Married","more 99999"
"495","College Grad","NeverMarried","45000-54999"
"496","College Grad","NeverMarried","45000-54999"
"497","High School","Married","more 99999"
"498","College Grad","Married","65000-74999"
"499","High School","Married","75000-99999"
"500","Some College","NeverMarried","<20000"
"501","Some College","Separated","more 99999"
"502","Some College","Separated","more 99999"
"503","High School","Separated","75000-99999"
"504","High School","Separated","75000-99999"
"505","Some College","Widowed","<20000"
"506","Some College","Married","55000-64999"
"507","High School","Married","20000-24999"
"508","College Grad","Married","more 99999"
"509","College Grad","Married","more 99999"
"510","Some College","Widowed","45000-54999"
"511","8th Grade","Married","<20000"
"512","High School","Married","35000-44999"
"513","Some College","Married","more 99999"
"514","High School","Separated","<20000"
"515","Some College","LivePartner","more 99999"
"516","Some College","LivePartner","more 99999"
"517","Some College","Married","75000-99999"
"518","Some College","Married","35000-44999"
"519","Some College","Divorced","<20000"
"520","High School","Married","35000-44999"
"521","9 - 11th Grade","Married","45000-54999"
"522","9 - 11th Grade","Married","45000-54999"
"523","College Grad","LivePartner","45000-54999"
"524","College Grad","Widowed","more 99999"
"525","9 - 11th Grade","Married","45000-54999"
"526","9 - 11th Grade","Married","45000-54999"
"527","8th Grade","Married","45000-54999"
"528","High School","NeverMarried","<20000"
"529","High School","LivePartner","<20000"
"530","High School","LivePartner","<20000"
"531","College Grad","Divorced","20000-24999"
"532","9 - 11th Grade","Married","35000-44999"
"533","Some College","LivePartner","20000-24999"
"534","Some College","Widowed","55000-64999"
"535","Some College","Widowed","55000-64999"
"536","Some College","Widowed","55000-64999"
"537","Some College","Widowed","55000-64999"
"538","9 - 11th Grade","Married","20000-24999"
"539","High School","Married","20000-24999"
"540","Some College","LivePartner","75000-99999"
"541","Some College","LivePartner","75000-99999"
"542","Some College","LivePartner","75000-99999"
"543","9 - 11th Grade","Married","25000-34999"
"544","Some College","Married","20000-24999"
"545","High School","NeverMarried","<20000"
"546","High School","NeverMarried","<20000"
"547","High School","Married","more 99999"
"548","High School","Married","more 99999"
"549","College Grad","LivePartner","more 99999"
"550","High School","Divorced","25000-34999"
"551","High School","Divorced","25000-34999"
"552","High School","Divorced","25000-34999"
"553","College Grad","Married","45000-54999"
"554","College Grad","Married","45000-54999"
"555","College Grad","NeverMarried","75000-99999"
"556","College Grad","NeverMarried","75000-99999"
"557","College Grad","NeverMarried","75000-99999"
"558","9 - 11th Grade","Married","65000-74999"
"559","9 - 11th Grade","Married","65000-74999"
"560","9 - 11th Grade","Married","65000-74999"
"561","9 - 11th Grade","Married","65000-74999"
"562","9 - 11th Grade","Married","65000-74999"
"563","9 - 11th Grade","Widowed","<20000"
"564","College Grad","Married","more 99999"
"565","College Grad","Married","more 99999"
"566","Some College","Married","75000-99999"
"567","College Grad","Married","55000-64999"
"568","High School","Married","35000-44999"
"569","College Grad","LivePartner","75000-99999"
"570","College Grad","LivePartner","75000-99999"
"571","High School","Married","25000-34999"
"572","High School","Married","45000-54999"
"573","High School","Married","45000-54999"
"574","High School","Married","45000-54999"
"575","Some College","NeverMarried","more 99999"
"576","Some College","Divorced","55000-64999"
"577","Some College","Married","more 99999"
"578","Some College","Divorced","more 99999"
"579","Some College","Divorced","more 99999"
"580","Some College","Divorced","more 99999"
"581","College Grad","Married","more 99999"
"582","College Grad","Married","more 99999"
"583","College Grad","Married","more 99999"
"584","College Grad","Married","more 99999"
"585","8th Grade","Divorced","<20000"
"586","High School","Married","55000-64999"
"587","High School","Married","55000-64999"
"588","High School","Married","55000-64999"
"589","9 - 11th Grade","Divorced","<20000"
"590","9 - 11th Grade","Divorced","<20000"
"591","College Grad","Married","more 99999"
"592","8th Grade","Married","<20000"
"593","9 - 11th Grade","Married","<20000"
"594","9 - 11th Grade","Married","<20000"
"595","College Grad","Divorced","35000-44999"
"596","9 - 11th Grade","Married","<20000"
"597","High School","NeverMarried","<20000"
"598","High School","Married","45000-54999"
"599","Some College","Married","more 99999"
"600","Some College","Married","more 99999"
"601","9 - 11th Grade","Married","more 99999"
"602","9 - 11th Grade","Married","more 99999"
"603","College Grad","Married","more 99999"
"604","High School","Married","75000-99999"
"605","High School","Married","75000-99999"
"606","High School","Married","75000-99999"
"607","High School","Married","75000-99999"
"608","Some College","Divorced","75000-99999"
"609","Some College","LivePartner","75000-99999"
"610","High School","Widowed","45000-54999"
"611","College Grad","Married","35000-44999"
"612","College Grad","Married","35000-44999"
"613","College Grad","NeverMarried","20000-24999"
"614","Some College","NeverMarried","35000-44999"
"615","Some College","NeverMarried","35000-44999"
"616","High School","Married","55000-64999"
"617","High School","Married","75000-99999"
"618","High School","Married","75000-99999"
"619","High School","Married","75000-99999"
"620","High School","Married","75000-99999"
"621","High School","Married","65000-74999"
"622","College Grad","Married","more 99999"
"623","9 - 11th Grade","Married","25000-34999"
"624","College Grad","Married","more 99999"
"625","College Grad","Married","more 99999"
"626","Some College","NeverMarried","45000-54999"
"627","Some College","NeverMarried","45000-54999"
"628","Some College","NeverMarried","45000-54999"
"629","9 - 11th Grade","Divorced","55000-64999"
"630","High School","Married","55000-64999"
"631","High School","Married","55000-64999"
"632","9 - 11th Grade","Married","<20000"
"633","Some College","Married","more 99999"
"634","Some College","Married","more 99999"
"635","College Grad","Widowed","<20000"
"636","College Grad","Married","more 99999"
"637","College Grad","Married","more 99999"
"638","High School","Married","25000-34999"
"639","High School","Divorced","75000-99999"
"640","College Grad","Married","more 99999"
"641","Some College","Married","more 99999"
"642","High School","Married","75000-99999"
"643","8th Grade","Widowed","<20000"
"644","College Grad","Married","45000-54999"
"645","College Grad","Divorced","25000-34999"
"646","College Grad","Divorced","25000-34999"
"647","8th Grade","Married","45000-54999"
"648","High School","Widowed","<20000"
"649","Some College","Married","more 99999"
"650","Some College","NeverMarried","35000-44999"
"651","Some College","NeverMarried","35000-44999"
"652","Some College","Divorced","<20000"
"653","High School","Widowed","45000-54999"
"654","High School","Married","75000-99999"
"655","8th Grade","Married","25000-34999"
"656","High School","NeverMarried","<20000"
"657","College Grad","Married","more 99999"
"658","8th Grade","Widowed","25000-34999"
"659","8th Grade","Widowed","25000-34999"
"660","High School","Married","20000-24999"
"661","College Grad","Married","55000-64999"
"662","College Grad","Married","55000-64999"
"663","College Grad","Married","55000-64999"
"664","College Grad","Married","55000-64999"
"665","College Grad","Married","55000-64999"
"666","Some College","Married","more 99999"
"667","Some College","Married","more 99999"
"668","Some College","Married","more 99999"
"669","College Grad","Married","75000-99999"
"670","College Grad","Married","75000-99999"
"671","8th Grade","Married","<20000"
"672","Some College","NeverMarried","<20000"
"673","9 - 11th Grade","Divorced","20000-24999"
"674","High School","Separated","45000-54999"
"675","High School","Separated","45000-54999"
"676","High School","Separated","45000-54999"
"677","High School","Separated","45000-54999"
"678","High School","NeverMarried","20000-24999"
"679","High School","Married","45000-54999"
"680","Some College","Widowed","25000-34999"
"681","High School","Separated","35000-44999"
"682","9 - 11th Grade","Married","<20000"
"683","College Grad","Married","35000-44999"
"684","8th Grade","LivePartner","<20000"
"685","College Grad","Married","25000-34999"
"686","Some College","NeverMarried","more 99999"
"687","Some College","NeverMarried","more 99999"
"688","Some College","LivePartner","25000-34999"
"689","Some College","LivePartner","25000-34999"
"690","High School","Married","more 99999"
"691","High School","Married","more 99999"
"692","High School","Married","more 99999"
"693","Some College","Divorced","<20000"
"694","College Grad","NeverMarried","25000-34999"
"695","High School","Widowed","25000-34999"
"696","9 - 11th Grade","NeverMarried","more 99999"
"697","High School","Married","<20000"
"698","Some College","Widowed","<20000"
"699","Some College","NeverMarried","45000-54999"
"700","9 - 11th Grade","Divorced","<20000"
"701","College Grad","Married","more 99999"
"702","College Grad","Married","more 99999"
"703","College Grad","Married","more 99999"
"704","College Grad","Married","more 99999"
"705","College Grad","Married","more 99999"
"706","College Grad","Married","75000-99999"
"707","College Grad","Married","75000-99999"
"708","9 - 11th Grade","LivePartner","20000-24999"
"709","Some College","Separated","20000-24999"
"710","Some College","NeverMarried","45000-54999"
"711","9 - 11th Grade","Separated","<20000"
"712","9 - 11th Grade","Separated","<20000"
"713","8th Grade","Married","<20000"
"714","Some College","Widowed","45000-54999"
"715","Some College","Widowed","35000-44999"
"716","Some College","NeverMarried","more 99999"
"717","Some College","Married","35000-44999"
"718","Some College","Divorced","55000-64999"
"719","Some College","Divorced","55000-64999"
"720","High School","Married","35000-44999"
"721","High School","Married","35000-44999"
"722","9 - 11th Grade","Married","<20000"
"723","High School","Married","55000-64999"
"724","High School","Married","55000-64999"
"725","Some College","NeverMarried","more 99999"
"726","Some College","NeverMarried","more 99999"
"727","High School","Married","45000-54999"
"728","High School","Married","45000-54999"
"729","High School","NeverMarried","<20000"
"730","9 - 11th Grade","Married","25000-34999"
"731","High School","Married","75000-99999"
"732","High School","Married","75000-99999"
"733","High School","Divorced","35000-44999"
"734","Some College","NeverMarried","35000-44999"
"735","Some College","NeverMarried","35000-44999"
"736","Some College","NeverMarried","35000-44999"
"737","Some College","Married","more 99999"
"738","Some College","Married","more 99999"
"739","9 - 11th Grade","NeverMarried","<20000"
"740","9 - 11th Grade","NeverMarried","<20000"
"741","College Grad","NeverMarried","45000-54999"
"742","College Grad","NeverMarried","45000-54999"
"743","9 - 11th Grade","LivePartner","65000-74999"
"744","8th Grade","NeverMarried","<20000"
"745","Some College","NeverMarried","more 99999"
"746","High School","Married","65000-74999"
"747","High School","NeverMarried","<20000"
"748","Some College","Married","75000-99999"
